"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","EastWest","HusbandAndWifeTotal","PropwHochschulreife","PropwoHauptschulabschluss","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm","Pop0to17","Pop18to24","Pop25to44","Pop45to64","PopOver65","InfluxTotal","OutflowTotal","BelieversProtestant","BelieversTotal","BelieversRomanCatholic","BelieversOthersNoNoResponse","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal","FoundationsDensity100k","FoundationsTotal","ForeignersTotal","MarriagePercentage","MalePercentage","YouthPercentage","ForeignerPercentage","FlowPercentage","MurderRate","CrimeViolent","ViolentCrimeRate","CrimeNonViolent","NonViolentCrimeRate","CrimeTotal","CrimeRate"
"1",2,"Hamburg",2013,"2y2013",14703,15837,1983,5406,8665,56,3046,20913,3393,65708,2998,6924,1,6746,58.1,5,71557,5468,8.6,755.3,1746342,847783,898559,2312,15.9,7.9,30.8,26.6,18.8,96782,84823,507877,1706696,167583,1031236,1281918,70.3,285927,288902,112826,42869,78296,82009,69.5,1194,233989,0.386293177395951,48.5462183237877,0.00045237416267833,13.398807335562,10.399165799139,3.20670292531474,5462,312.768060322663,120802,6917.43083542628,149632,8568.310216441
"2",11,"Berlin",2013,"11y2013",28924,36034,6659,10340,17275,106,6222,43481,9659,117807,5993,11566,2,12963,41.7,7.2,210083,19108,13.9,891.68,3421829,1669853,1751976,3838,15.3,7.7,30.2,27.8,19.1,169466,127574,632865,3292365,293388,2366112,2505718,72.5,508643,439387,220737,63616,330507,224831,24,797,459101,0.378832489876028,48.8000130924134,0.000225025856055344,13.4168305897226,8.68073769904925,3.09775853790473,10446,305.275336669366,237421,6938.42386630074,294066,8593.82511516502
"3",1001,"Flensburg",2013,"1001y2013",651,460,36,223,329,0,97,932,101,1827,100,313,1,493,42.5,7.6,5205,642,12.3,56.74,83971,41322,42649,1480,14.8,11.3,26.1,27.1,20.6,7701,6980,40867,82258,5220,36171,70321,66.6,14136,16480,5507,2061,3780,4301,41.1,34,5899,0.587107453763799,49.2098462564457,0.0134570268306915,7.02504436055305,17.4834168939277,0,223,265.567874623382,3866,4603.97041835872,5069,6036.6078765288
"4",1002,"Kiel",2013,"1002y2013",1948,1458,127,640,937,5,258,2787,668,6103,201,732,1,995,41.4,7.7,13070,1251,11.4,118.65,241533,116951,124582,2036,14.1,11.5,30.4,25.7,18.3,16354,14555,97355,235782,17368,121059,187464,70.4,38037,46070,18814,6688,9478,11599,36.6,87,19470,0.411951989997226,48.4202986755433,0.00476125415574683,8.06101029672964,12.797009104346,2.07011050249862,645,267.044254822322,12334,5106.5485875636,15864,6568.04660232763
"5",1003,"Lübeck",2013,"1003y2013",1926,1335,111,658,948,3,255,2784,539,6353,135,458,1,1002,30.7,8.6,11109,1212,11.6,214.21,212958,101734,111224,994,14.8,8.3,25.6,28.2,23.1,12136,9951,101500,210305,17793,91012,167287,67.8,37701,38703,12561,5244,7396,10424,52.2,110,15066,0.470515312878596,47.7718611181548,0.00389748213262709,7.07463443495901,10.3715286582331,1.40872848167244,661,310.389842128495,11970,5620.82664187305,15505,7280.77836944374
"6",1004,"Neumünster",2013,"1004y2013",860,667,38,226,318,1,75,729,101,2452,111,292,1,339,36.7,8.8,4458,557,12.5,71.63,77058,37606,39452,1076,16.5,8.4,23.3,29.3,22.5,7518,7125,38356,77249,5019,33874,61095,65.4,14170,14092,2959,1925,2157,4085,18.1,14,4684,0.439928365646656,48.802200939552,0.0109008798567313,6.07853824392016,19.0025694931091,1.29772379246801,227,294.583300890238,4465,5794.33673336967,5870,7617.63866178722
"7",1051,"Dithmarschen",2013,"1051y2013",596,467,30,126,194,0,58,915,70,1931,71,354,1,724,22.9,8.6,5003,645,8.6,1428.11,132665,65124,67541,93,16.9,7.6,21.2,30.8,23.5,11012,10571,86458,133900,5975,41467,107468,69.4,32039,22264,4649,4775,3567,6355,24,32,4013,0.545735499189688,49.0890589077752,0.00572871518486413,3.02491237327102,16.2687973467003,0,126,94.9760675385369,3896,2936.72031055667,4812,3627.18124599555
"8",1053,"Herzogtum Lauenburg",2013,"1053y2013",813,780,188,222,307,3,66,1326,181,2640,149,463,1,837,28,8.6,6191,747,7,1263.01,189043,92291,96752,150,17.4,6.9,22.6,31.1,22,14922,13315,92422,187137,11277,83439,149486,74.6,44406,33059,9963,6427,5788,10839,14.9,28,9057,0.44275640991732,48.8201097104891,0.00364996323587755,4.79097348222362,14.936813317605,1.58694053733807,225,119.020540300355,5793,3064.38217759981,7138,3775.86051850637
"9",1054,"Nordfriesland",2013,"1054y2013",874,419,66,215,288,3,54,1333,188,2493,49,186,1,2076,22.3,7.2,5868,577,7.3,2082.76,161923,78853,83070,78,16.7,7.7,21.6,30.8,23.1,13928,13509,107248,163665,8818,47599,131157,71.1,39745,27230,8155,5949,3918,7312,54,88,6212,1.28209087035196,48.6978378612056,0.00475534667712431,3.8363913712073,16.9444736078259,1.85273247160687,218,134.631892936766,4788,2956.96102468457,6168,3809.21796162373
"10",1055,"Ostholstein",2013,"1055y2013",904,961,72,245,324,6,52,1999,255,3507,113,416,1,1428,26.8,8.7,6489,697,7.3,1392.65,197835,95235,102600,142,15.1,6.5,20.4,31.8,26.2,14925,13571,114638,198413,12441,71334,164625,73,48856,37612,9332,7433,5102,10447,19.7,39,6301,0.721813632572598,48.1386003487755,0.00328556625470721,3.18497738014002,14.4039224606364,3.0328303889605,251,126.873404604847,7375,3727.85401976394,8854,4475.44671064271
