"","district","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal"
"1",1001,70321,66.6,14136,16480,5507,2061,3780,4301
"2",1002,187464,70.4,38037,46070,18814,6688,9478,11599
"3",1003,167287,67.8,37701,38703,12561,5244,7396,10424
"4",1004,61095,65.4,14170,14092,2959,1925,2157,4085
"5",1051,107468,69.4,32039,22264,4649,4775,3567,6355
"6",1053,149486,74.6,44406,33059,9963,6427,5788,10839
"7",1054,131157,71.1,39745,27230,8155,5949,3918,7312
"8",1055,164625,73,48856,37612,9332,7433,5102,10447
"9",1056,235610,76,72006,55371,15291,9863,8910,15932
"10",1057,104178,77,31491,25097,8103,4425,3532,6745
"11",1058,216682,75.7,66205,50850,15287,9146,6992,13770
"12",1059,156623,74,47211,35916,10227,6004,5304,9709
"13",1060,208464,74.1,63784,45548,12480,8870,7544,14831
"14",1061,105499,72.3,30920,22999,6064,4366,3972,7154
"15",1062,185837,77.4,58049,42434,13745,8538,6737,13278
"19",3101,193799,74.2,48419,47741,17614,6214,9527,12770
"20",3102,75402,68.8,17002,21406,2987,1519,3549,4671
"21",3103,92819,69.7,26799,21748,4416,2348,3263,5401
"22",3151,134366,73.9,43254,31642,7236,3657,4460,8157
"23",3152,195780,75.2,51705,47816,18998,5905,9372,12147
"24",3153,112517,70.8,30108,29263,5070,3307,4380,6482
"25",3154,74709,71.9,20975,19133,3553,1910,2553,4914
"26",3155,110737,72.6,29624,30983,5647,3032,3586,6182
"27",3156,62441,71.4,16800,16984,2702,1706,2348,3564
"28",3157,102787,75.4,27611,31189,5654,2529,3739,6102
"29",3158,97192,76.6,26780,26966,6577,2778,3664,6239
"31",3241,847629,74.4,226524,216824,67797,27979,35722,48875
"33",3251,168362,73.8,53298,38823,10282,6194,5590,9062
"34",3252,119218,71.4,31971,29587,7236,3334,4708,7001
"35",3254,219571,75.1,63041,59319,14587,5589,8120,12341
"36",3255,58096,72.7,15315,15682,3441,2312,1962,3046
"37",3256,95508,71,29226,22607,5186,2449,2813,4969
"38",3257,125175,73.5,35159,34044,7458,3279,3962,7351
"40",3351,139513,72.5,45684,29130,7050,4430,4338,9702
"41",3352,158469,73.3,49992,38767,8252,4058,5521,8520
"42",3353,194856,78.4,64905,42915,14078,7382,6641,15679
"43",3354,39827,72.3,10435,7778,4436,1032,2537,2274
