"","year","district","ForeignersTotal"
"18",2013,1001,5899
"36",2013,1002,19470
"54",2013,1003,15066
"72",2013,1004,4684
"90",2013,1051,4013
"108",2013,1053,9057
"126",2013,1054,6212
"144",2013,1055,6301
"162",2013,1056,21346
"180",2013,1057,3082
"198",2013,1058,7231
"216",2013,1059,5723
"234",2013,1060,12769
"252",2013,1061,4540
"270",2013,1062,10557
"342",2013,3101,19623
"360",2013,3102,9429
"378",2013,3103,13231
"396",2013,3151,7563
"414",2013,3152,16081
"432",2013,3153,7614
"450",2013,3154,3491
"468",2013,3155,5135
"486",2013,3156,2838
"504",2013,3157,6307
"522",2013,3158,4510
"558",2013,3241,112637
"594",2013,3251,9427
"612",2013,3252,9783
"630",2013,3254,14233
"648",2013,3255,3135
"666",2013,3256,5281
"684",2013,3257,8231
"720",2013,3351,8204
"738",2013,3352,8352
"756",2013,3353,11945
"774",2013,3354,1818
"792",2013,3355,7092
"810",2013,3356,4101
"828",2013,3357,6486
"846",2013,3358,5964
"864",2013,3359,10579
"882",2013,3360,2877
"900",2013,3361,6481
"936",2013,3401,6196
"954",2013,3402,2748
"972",2013,3403,10021
"990",2013,3404,14635
"1008",2013,3405,3105
"1026",2013,3451,3808
"1044",2013,3452,5755
"1062",2013,3453,9654
"1080",2013,3454,21521
"1098",2013,3455,2272
"1116",2013,3456,15694
"1134",2013,3457,8762
"1152",2013,3458,5856
"1170",2013,3459,18535
"1188",2013,3460,9734
"1206",2013,3461,4376
"1224",2013,3462,1511
"1260",2013,4011,70288
"1278",2013,4012,11758
"1332",2013,5111,101897
"1350",2013,5112,78119
"1368",2013,5113,63890
"1386",2013,5114,26206
"1404",2013,5116,27896
"1422",2013,5117,18970
"1440",2013,5119,23968
"1458",2013,5120,15329
"1476",2013,5122,20434
"1494",2013,5124,48975
"1512",2013,5154,31715
"1530",2013,5158,44663
"1548",2013,5162,41558
"1566",2013,5166,21614
"1584",2013,5170,30816
"1620",2013,5314,39321
"1638",2013,5315,176429
"1656",2013,5316,19928
"1674",2013,5334,60631
"1710",2013,5354,NA
"1728",2013,5358,20096
"1746",2013,5362,44119
"1764",2013,5366,9382
"1782",2013,5370,22686
"1800",2013,5374,18739
"1818",2013,5378,19742
"1836",2013,5382,43926
"1872",2013,5512,9388
"1890",2013,5513,37929
"1908",2013,5515,23909
"1926",2013,5554,24338
"1944",2013,5558,7959
"1962",2013,5562,49828
"1980",2013,5566,24172
"1998",2013,5570,18054
"2034",2013,5711,38572
"2052",2013,5754,31436
"2070",2013,5758,15717
"2088",2013,5762,4886
"2106",2013,5766,18890
"2124",2013,5770,15339
"2142",2013,5774,18464
"2178",2013,5911,32498
"2196",2013,5913,76194
"2214",2013,5914,24338
"2232",2013,5915,19654
"2250",2013,5916,19389
"2268",2013,5954,24471
"2286",2013,5958,15742
"2304",2013,5962,42838
"2322",2013,5966,9393
"2340",2013,5970,19589
"2358",2013,5974,17911
"2376",2013,5978,27935
"2430",2013,6411,23789
"2448",2013,6412,184615
"2466",2013,6413,37276
"2484",2013,6414,44345
"2502",2013,6431,25292
"2520",2013,6432,31086
"2538",2013,6433,45021
"2556",2013,6434,29268
"2574",2013,6435,46133
"2592",2013,6436,28822
"2610",2013,6437,10243
"2628",2013,6438,50912
"2646",2013,6439,15750
"2664",2013,6440,26029
"2700",2013,6531,19545
"2718",2013,6532,19336
"2736",2013,6533,13775
"2754",2013,6534,18627
"2772",2013,6535,3953
"2808",2013,6611,25130
"2826",2013,6631,11202
"2844",2013,6632,5743
"2862",2013,6633,9609
"2880",2013,6634,7226
"2898",2013,6635,7470
"2916",2013,6636,3531
"2970",2013,7111,9905
"2988",2013,7131,7992
"3006",2013,7132,6609
"3024",2013,7133,11198
"3042",2013,7134,3492
"3060",2013,7135,2897
"3078",2013,7137,10165
"3096",2013,7138,11986
"3114",2013,7140,4647
"3132",2013,7141,6479
"3150",2013,7143,12263
"3186",2013,7211,9516
"3204",2013,7231,6529
"3222",2013,7232,7811
"3240",2013,7233,2715
"3258",2013,7235,9862
"3294",2013,7311,6239
"3312",2013,7312,10375
"3330",2013,7313,3046
"3348",2013,7314,34482
"3366",2013,7315,30858
"3384",2013,7316,3724
"3402",2013,7317,2458
"3420",2013,7318,5701
"3438",2013,7319,9751
"3456",2013,7320,2051
"3474",2013,7331,7785
"3492",2013,7332,8058
"3510",2013,7333,4156
"3528",2013,7334,11590
"3546",2013,7335,5807
"3564",2013,7336,2557
"3582",2013,7337,5126
"3600",2013,7338,11381
"3618",2013,7339,14067
"3636",2013,7340,2582
"3690",2013,8111,133618
"3708",2013,8115,54755
"3726",2013,8116,71375
"3744",2013,8117,31291
"3762",2013,8118,77342
"3780",2013,8119,52204
"3798",2013,8121,23404
"3816",2013,8125,34364
"3834",2013,8126,7496
"3852",2013,8127,13338
"3870",2013,8128,6506
"3888",2013,8135,12915
"3906",2013,8136,24920
"3942",2013,8211,7634
"3960",2013,8212,47467
"3978",2013,8215,41634
"3996",2013,8216,21528
"4014",2013,8221,26975
"4032",2013,8222,60319
"4050",2013,8225,9089
"4068",2013,8226,51569
"4086",2013,8231,23437
"4104",2013,8235,16802
"4122",2013,8236,19397
"4140",2013,8237,9016
"4176",2013,8311,31403
"4194",2013,8315,19875
"4212",2013,8316,11115
"4230",2013,8317,31684
"4248",2013,8325,10130
"4266",2013,8326,22518
"4284",2013,8327,14754
"4302",2013,8335,30882
"4320",2013,8336,25755
"4338",2013,8337,18818
"4374",2013,8415,33241
"4392",2013,8416,23170
"4410",2013,8417,17187
"4428",2013,8421,19186
"4446",2013,8425,17200
"4464",2013,8426,11976
"4482",2013,8435,20498
"4500",2013,8436,21137
"4518",2013,8437,8940
"4572",2013,9161,18525
"4590",2013,9162,324225
"4608",2013,9163,10164
"4626",2013,9171,7772
"4644",2013,9172,12961
"4662",2013,9173,10765
"4680",2013,9174,17677
"4698",2013,9175,12651
"4716",2013,9176,7207
"4734",2013,9177,10593
"4752",2013,9178,21476
"4770",2013,9179,21283
"4788",2013,9180,7832
"4806",2013,9181,6583
"4824",2013,9182,9105
"4842",2013,9183,8239
"4860",2013,9184,44507
"4878",2013,9185,6509
"4896",2013,9186,9046
"4914",2013,9187,18428
"4932",2013,9188,14050
"4950",2013,9189,11303
"4968",2013,9190,8838
"5004",2013,9261,8255
"5022",2013,9262,4491
"5040",2013,9263,4454
"5058",2013,9271,5935
"5076",2013,9272,2043
"5094",2013,9273,8344
"5112",2013,9274,8837
"5130",2013,9275,7982
"5148",2013,9276,2211
"5166",2013,9277,7344
"5184",2013,9278,4073
"5202",2013,9279,6514
"5238",2013,9361,2717
"5256",2013,9362,16216
"5274",2013,9363,2781
"5292",2013,9371,3565
"5310",2013,9372,3734
"5328",2013,9373,6633
"5346",2013,9374,2922
"5364",2013,9375,9315
"5382",2013,9376,6206
"5400",2013,9377,1789
"5436",2013,9461,6000
"5454",2013,9462,5684
"5472",2013,9463,2857
"5490",2013,9464,4744
"5508",2013,9471,4029
"5526",2013,9472,2580
"5544",2013,9473,2878
"5562",2013,9474,5072
"5580",2013,9475,3522
"5598",2013,9476,1892
"5616",2013,9477,1928
"5634",2013,9478,2016
"5652",2013,9479,3586
"5688",2013,9561,2931
"5706",2013,9562,13707
"5724",2013,9563,17685
"5742",2013,9564,88865
"5760",2013,9565,3582
"5778",2013,9571,9311
"5796",2013,9572,7903
"5814",2013,9573,6437
"5832",2013,9574,9887
"5850",2013,9575,4121
"5868",2013,9576,5363
"5886",2013,9577,5262
"5922",2013,9661,8691
"5940",2013,9662,6097
"5958",2013,9663,10789
"5976",2013,9671,12046
"5994",2013,9672,3085
"6012",2013,9673,2092
"6030",2013,9674,2106
"6048",2013,9675,4644
"6066",2013,9676,11204
"6084",2013,9677,5801
"6102",2013,9678,3674
"6120",2013,9679,6281
"6156",2013,9761,48104
"6174",2013,9762,4401
"6192",2013,9763,7975
"6210",2013,9764,5574
"6228",2013,9771,7314
"6246",2013,9772,16004
"6264",2013,9773,5573
"6282",2013,9774,11295
"6300",2013,9775,18321
"6318",2013,9776,7858
"6336",2013,9777,8242
"6354",2013,9778,7947
"6372",2013,9779,7714
"6390",2013,9780,9488
"6426",2013,10041,33115
"6462",2013,10042,8042
"6480",2013,10043,7199
"6498",2013,10044,14057
"6516",2013,10045,8572
"6534",2013,10046,2475
"6588",2013,12051,1517
"6606",2013,12052,3723
"6624",2013,12053,3059
"6642",2013,12054,7356
"6660",2013,12060,3744
"6678",2013,12061,3871
"6696",2013,12062,913
"6714",2013,12063,2950
"6732",2013,12064,2977
"6750",2013,12065,3891
"6768",2013,12066,1580
"6786",2013,12067,3756
"6804",2013,12068,1341
"6822",2013,12069,4940
"6840",2013,12070,1169
"6858",2013,12071,1850
"6876",2013,12072,3665
"6894",2013,12073,2452
"6930",2013,13001,NA
"6948",2013,13002,NA
"6966",2013,13003,7434
"6984",2013,13004,3496
"7002",2013,13005,NA
"7020",2013,13006,NA
"7038",2013,13051,NA
"7056",2013,13052,NA
"7074",2013,13053,NA
"7092",2013,13054,NA
"7110",2013,13055,NA
"7128",2013,13056,NA
"7146",2013,13057,NA
"7164",2013,13058,NA
"7182",2013,13059,NA
"7200",2013,13060,NA
"7218",2013,13061,NA
"7236",2013,13062,NA
"7254",2013,13071,3351
"7272",2013,13072,2901
"7290",2013,13073,3338
"7308",2013,13074,2893
"7326",2013,13075,6088
"7344",2013,13076,4986
"7398",2013,14161,NA
"7416",2013,14166,NA
"7434",2013,14167,NA
"7452",2013,14171,NA
"7470",2013,14173,NA
"7488",2013,14177,NA
"7506",2013,14178,NA
"7524",2013,14181,NA
