"","district","FoundationsDensity100k","FoundationsTotal"
"1",2,69.5,1194
"2",9162,65.6,896
"3",11,24,797
"4",6412,76.7,519
"5",3241,35,387
"6",8111,62.6,370
"7",5315,35.9,364
"8",4011,54,294
"9",5111,40.5,239
"10",9564,44.5,218
"11",5113,36.8,208
"12",5314,64.4,198
"13",5515,59.6,175
"14",9772,52.7,142
"15",6434,59.5,135
"16",5711,39.1,128
"17",7315,63.7,128
"18",14612,22.2,115
"19",3101,46.3,113
"20",3403,71.7,113
"21",9679,89.2,111
"22",1003,52.2,110
"23",8212,34.9,102
"24",5382,17.4,101
"25",6611,49.5,95
"26",6414,34,92
"27",1054,54,88
"28",1002,36.6,87
"29",5124,25.4,87
"30",5334,15.9,86
"31",5158,17.6,84
"32",6534,34.8,84
"33",8116,16.6,84
"34",6411,55.5,81
"35",6531,32.1,81
"36",8311,37.3,80
"37",5562,12.8,79
"38",5766,22.7,79
"39",5754,22.2,78
"40",8222,26.4,77
"41",9184,24,77
"42",5154,25.2,76
"43",10041,23.2,76
"44",3459,21.4,75
"45",8416,35.2,75
"46",9362,55,75
"47",8436,27.4,74
"48",3152,29.4,73
"49",8118,14.3,73
"50",8119,17.9,73
"51",5162,16,70
"52",5913,12.3,70
"53",14729,13.7,70
"54",8435,33.7,69
"55",3404,44,68
"56",8221,45.8,68
"57",6440,22.9,67
"58",8421,56.2,66
"59",5170,14.1,65
"60",3355,36.1,63
"61",1058,23.1,62
"62",5954,19.1,62
"63",8415,22.7,62
"64",5114,27.5,61
"65",6435,15.2,61
"66",5970,21.7,60
"67",3254,21.3,59
"68",6436,26.2,59
"69",5112,11.9,58
"70",5554,15.9,58
"71",5558,27,58
"72",8317,13.9,57
"73",9472,80,57
"74",5962,13,55
"75",6631,25.5,55
"76",3460,40.7,54
"77",5566,12.4,54
"78",9678,103.6,54
"79",3454,17,53
"80",5774,17.6,52
"81",12054,33,52
"82",5570,18.7,51
"83",5911,14.1,51
"84",3351,28.4,50
"85",5770,16.1,50
"86",6532,19.8,50
"87",8115,13.7,50
"88",8136,16.3,50
"89",8335,18.3,49
"90",9188,38.2,49
"91",5374,17.6,48
"92",5378,16.9,47
"93",7211,44.2,47
"94",8125,14.5,47
"95",9779,36.7,47
"96",7138,25.5,46
"97",8426,24.5,46
"98",7133,29,45
"99",3357,27.1,44
"100",5974,14.8,44
"101",6431,16.8,44
"102",9163,17.9,44
"103",9471,62.2,44
"104",3153,30.8,43
"105",5758,17.2,43
"106",5978,10.9,43
"107",3252,28.1,42
"108",3358,30.9,42
"109",8117,17,42
"110",8315,17,42
"111",9561,23.6,42
"112",1056,13.8,41
"113",3359,21,41
"114",5362,9.1,41
"115",7137,19.5,41
"116",3353,16.7,40
"117",8215,9.4,40
"118",8226,7.6,40
"119",14626,14.9,40
"120",1055,19.7,39
"121",1062,16.9,39
"122",5122,25.1,39
"123",6438,11.7,39
"124",6439,21.6,39
"125",8336,17.8,39
"126",9763,60.7,39
"127",9780,26.2,39
"128",6634,21,38
"129",16051,18.8,38
"130",1057,29.1,37
"131",3352,18.7,37
"132",7332,28.3,37
"133",7339,18.4,37
"134",3453,22.6,36
"135",5166,12.2,36
"136",6432,12.7,36
"137",7312,37.1,36
"138",8326,17.6,36
"139",3158,29.1,35
"140",9573,30,35
"141",9761,14.7,35
"142",1001,41.1,34
"143",7111,31.5,34
"144",7314,21.4,34
"145",8425,18.2,34
"146",8437,26.7,34
"147",9577,36.9,34
