"","year","district","PropwHochschulreife","PropwoHauptschulabschluss"
"1",2013,1001,42.5,7.6
"2",2013,1002,41.4,7.7
"3",2013,1003,30.7,8.6
"4",2013,1004,36.7,8.8
"5",2013,1051,22.9,8.6
"6",2013,1053,28,8.6
"7",2013,1054,22.3,7.2
"8",2013,1055,26.8,8.7
"9",2013,1056,35,6.5
"10",2013,1057,23.1,8.1
"11",2013,1058,26.5,8.1
"12",2013,1059,23.9,8.5
"13",2013,1060,28.7,7.2
"14",2013,1061,26.9,7
"15",2013,1062,45.3,4.4
"19",2013,3101,46.3,5.9
"20",2013,3102,20.5,3.3
"21",2013,3103,38.1,4
"22",2013,3151,25.8,4.7
"23",2013,3152,41.6,4.3
"24",2013,3153,27.3,5.8
"25",2013,3154,31.4,6
"26",2013,3155,33.5,4.3
"27",2013,3156,24.3,3.8
"28",2013,3157,31.5,4.2
"29",2013,3158,30.6,4
"31",2013,3241,38.9,4.9
"33",2013,3251,28,3.5
"34",2013,3252,28.7,7.1
"35",2013,3254,34.4,5.7
"36",2013,3255,18.9,7.2
"37",2013,3256,25.8,5
"38",2013,3257,38.1,3.7
"40",2013,3351,23,5.7
"41",2013,3352,21.6,7.2
"42",2013,3353,32.8,2.9
"43",2013,3354,25.2,5.3
"44",2013,3355,35.1,4
"45",2013,3356,30.3,6
"46",2013,3357,25.9,4.7
"47",2013,3358,25.2,7.6
"48",2013,3359,26.6,5.1
"49",2013,3360,25.8,3.3
"50",2013,3361,29.4,4.8
"52",2013,3401,26.3,6.8
"53",2013,3402,28.7,9.3
"54",2013,3403,43.3,6
"55",2013,3404,42.2,4.6
"56",2013,3405,33.9,5.7
"57",2013,3451,24.5,2.7
"58",2013,3452,20.9,8.2
"59",2013,3453,16.6,4.8
"60",2013,3454,24,4.7
"61",2013,3455,20,3.6
"62",2013,3456,20.9,6.9
"63",2013,3457,18.6,7.5
"64",2013,3458,12.3,4.3
"65",2013,3459,20.8,4.1
"66",2013,3460,28.4,4.5
"67",2013,3461,25.7,4.1
"68",2013,3462,27.1,4.7
"70",2013,4011,37.5,6.1
"71",2013,4012,38.8,6.2
"74",2013,5111,51.4,5
"75",2013,5112,44.5,5.7
"76",2013,5113,51.1,5.8
"77",2013,5114,44.1,5.6
"78",2013,5116,45.5,7.1
"79",2013,5117,54.8,3.4
"80",2013,5119,44.6,4.7
"81",2013,5120,44.2,2.8
"82",2013,5122,48.5,4.4
"83",2013,5124,46.7,4.9
"84",2013,5154,39.7,5.5
"85",2013,5158,43.4,4.4
"86",2013,5162,50.5,3.4
"87",2013,5166,49.1,4.3
"88",2013,5170,45.7,4.3
"90",2013,5314,56.8,2.8
"91",2013,5315,47.8,4.3
"92",2013,5316,50.7,5.7
"93",2013,5334,51.7,3.7
"95",2013,5354,NA,NA
"96",2013,5358,44.7,3.8
"97",2013,5362,47.4,3.4
"98",2013,5366,46,3.2
"99",2013,5370,45.3,4.3
"100",2013,5374,44,3.7
"101",2013,5378,51.5,2.7
"102",2013,5382,50,4.5
"104",2013,5512,47.9,4.5
"105",2013,5513,36.9,8.5
"106",2013,5515,59.1,3.7
"107",2013,5554,38.7,4
"108",2013,5558,44.3,2.7
"109",2013,5562,42.6,5.1
"110",2013,5566,41.7,3.5
"111",2013,5570,43.3,2.9
"113",2013,5711,47.5,4.3
"114",2013,5754,44,3.4
"115",2013,5758,48.6,3.9
"116",2013,5762,48.2,3.9
"117",2013,5766,41.3,3.9
"118",2013,5770,46.4,3.8
"119",2013,5774,40.3,2.9
"121",2013,5911,46.2,4
"122",2013,5913,43.8,6.3
"123",2013,5914,45.3,3.7
"124",2013,5915,35.8,5.5
"125",2013,5916,43.3,5.9
"126",2013,5954,47.8,4.3
"127",2013,5958,42.5,3.8
"128",2013,5962,41.4,6.3
"129",2013,5966,44.6,5.5
"130",2013,5970,46.1,3.2
"131",2013,5974,47.5,3.6
"132",2013,5978,47.5,5.2
"135",2013,6411,57.7,2.3
"136",2013,6412,40.6,4.9
"137",2013,6413,37.3,6.2
"138",2013,6414,39.7,5.8
"139",2013,6431,45.2,2.6
"140",2013,6432,33.2,4.9
"141",2013,6433,30.1,4.6
"142",2013,6434,46.4,3.1
"143",2013,6435,33.7,4.1
"144",2013,6436,44.5,2.9
"145",2013,6437,35.5,3.1
"146",2013,6438,41.5,3.5
"147",2013,6439,41.2,4.9
"148",2013,6440,46.3,4.3
"150",2013,6531,43,3.7
"151",2013,6532,28.2,4
"152",2013,6533,38.7,3.6
"153",2013,6534,39.6,4.1
"154",2013,6535,29.3,3.9
"156",2013,6611,44.1,6.6
"157",2013,6631,33,3.3
"158",2013,6632,23.3,3.5
"159",2013,6633,32.5,3.3
"160",2013,6634,39.9,5.2
"161",2013,6635,31.2,4.9
"162",2013,6636,28.2,4.8
"165",2013,7111,44.8,5.7
"166",2013,7131,39.8,3.7
"167",2013,7132,28.4,3.9
"168",2013,7133,35.9,4.7
"169",2013,7134,26.8,3.7
"170",2013,7135,17.2,8.1
"171",2013,7137,23.1,6
"172",2013,7138,21.3,8.7
"173",2013,7140,25.7,4.4
"174",2013,7141,31.6,7.7
"175",2013,7143,21,6.1
"177",2013,7211,41.7,4.6
"178",2013,7231,25.2,5.7
"179",2013,7232,34.8,3.9
"180",2013,7233,31.1,5
"181",2013,7235,25.9,7.4
"183",2013,7311,37.6,8.8
"184",2013,7312,46,5
"185",2013,7313,43.9,5.6
"186",2013,7314,35.9,9
"187",2013,7315,49.5,1.8
"188",2013,7316,53,7
"189",2013,7317,40.4,6.7
"190",2013,7318,51.3,2.5
"191",2013,7319,36.2,4.1
"192",2013,7320,43.1,5.1
"193",2013,7331,31,4.4
"194",2013,7332,30.6,7.4
"195",2013,7333,26.4,5.9
"196",2013,7334,27.3,4
"197",2013,7335,26.7,6.3
"198",2013,7336,19.4,3.7
"199",2013,7337,34.1,4.9
"200",2013,7338,13.9,3.9
"201",2013,7339,38.7,4.2
"202",2013,7340,15.2,2.3
"205",2013,8111,40.2,4.5
"206",2013,8115,29.8,3.9
