"","district","marriageTotal"
"52",1001,31137
"53",1002,84054
"54",1003,85971
"55",1004,33244
"56",1051,62455
"57",1053,90020
"58",1054,75060
"59",1055,95489
"60",1056,142193
"61",1057,62855
"62",1058,128265
"63",1059,91979
"64",1060,125003
"65",1061,61788
"66",1062,113301
"67",3101,98214
"68",3102,47457
"69",3103,57273
"70",3151,85166
"71",3152,106717
"72",3153,65821
"73",3154,44744
"74",3155,66725
"75",3156,37969
"76",3157,63975
"77",3158,58281
"78",3241,485475
"79",3251,103471
"80",3252,70718
"81",3254,127814
"82",3255,35552
"83",3256,57223
"84",3257,76738
"85",3351,82588
"86",3352,98607
"87",3353,119477
"88",3354,22381
"89",3355,75799
"90",3356,55360
"91",3357,77144
"92",3358,64329
"93",3359,94954
"94",3360,43573
"95",3361,63835
"96",3401,34049
"97",3402,21539
"98",3403,61924
"99",3404,62680
"100",3405,32239
"101",3451,58013
"102",3452,90497
"103",3453,75717
"104",3454,151650
"105",3455,48200
"106",3456,65992
"107",3457,78428
"108",3458,61497
"109",3459,169586
"110",3460,62563
"111",3461,43683
"112",3462,27539
"113",4011,215031
"114",4012,45236
"115",5111,240283
"116",5112,219508
"117",5113,248228
"118",5114,103910
"119",5116,114365
"120",5117,80152
"121",5119,96443
"122",5120,53546
"123",5122,72605
"124",5124,150403
"125",5154,144365
"126",5158,236614
"127",5162,218990
"128",5166,144723
"129",5170,229991
"130",5314,122021
"131",5315,399645
"132",5316,74270
"133",5334,237417
"134",5354,NA
"135",5358,126175
"136",5362,221114
"137",5366,92574
"138",5370,123387
"139",5374,133993
"140",5378,138161
"141",5382,285630
"142",5512,56691
"143",5513,114100
"144",5515,109496
"145",5554,175349
"146",5558,105613
"147",5562,303158
"148",5566,211996
"149",5570,134330
"150",5711,134790
"151",5754,168578
"152",5758,121875
"153",5762,70539
"154",5766,168028
"155",5770,147829
"156",5774,135041
"157",5911,163662
"158",5913,244783
"159",5914,88473
"160",5915,82390
"161",5916,72472
"162",5954,159019
"163",5958,128855
"164",5962,208159
"165",5966,67195
"166",5970,135736
"167",5974,140846
"168",5978,195411
"169",6411,55976
"170",6412,268116
"171",6413,48796
"172",6414,112460
"173",6431,128548
"174",6432,138957
"175",6433,121704
"176",6434,110420
"177",6435,195110
"178",6436,111432
"179",6437,48079
"180",6438,162149
"181",6439,90582
"182",6440,141070
"183",6531,110608
"184",6532,123512
"185",6533,82933
"186",6534,107968
"187",6535,54021
"188",6611,75881
"189",6631,103077
"190",6632,59855
"191",6633,119823
"192",6634,89671
"193",6635,76979
"194",6636,50318
"195",7111,45723
"196",7131,62180
"197",7132,64378
"198",7133,75796
"199",7134,40944
"200",7135,31894
"201",7137,102334
"202",7138,88742
"203",7140,50948
"204",7141,60072
"205",7143,99294
"206",7211,37833
"207",7231,54713
"208",7232,45126
"209",7233,30650
"210",7235,69396
"211",7311,22662
"212",7312,38581
"213",7313,18076
"214",7314,72120
"215",7315,80278
"216",7316,24284
"217",7317,17764
"218",7318,22368
"219",7319,37571
"220",7320,15574
"221",7331,63119
"222",7332,67411
"223",7333,37263
"224",7334,61049
"225",7335,51993
"226",7336,36735
"227",7337,53863
"228",7338,76484
"229",7339,98858
"230",7340,50707
"231",8111,234967
"232",8115,178420
"233",8116,242162
"234",8117,121342
"235",8118,249121
"236",8119,195558
"237",8121,53377
"238",8125,159192
"239",8126,51705
"240",8127,87434
"241",8128,63794
"242",8135,62071
"243",8136,146090
"244",8211,24178
"245",8212,115818
"246",8215,212031
"247",8216,110463
"248",8221,51158
"249",8222,123443
"250",8225,69840
"251",8226,255687
"252",8231,50060
"253",8235,73990
"254",8236,96133
"255",8237,55767
"256",8311,73594
"257",8315,116513
"258",8316,73538
"259",8317,194669
"260",8325,65404
"261",8326,97554
"262",8327,64515
"263",8335,118826
"264",8336,103063
"265",8337,77624
"266",8415,130518
"267",8416,90490
"268",8417,91210
"269",8421,49884
"270",8425,90339
"271",8426,88287
"272",8435,96293
"273",8436,122580
