district;Landkreis/Stadt;Bundesland;Dichte;Anzahl
2;Hamburg;Hamburg;69,5;1194
9162;MÙnchen, Landeshauptstadt;Bayern;65,6;896
11;Berlin;Berlin;24,0;797
6412;Frankfurt am Main, Kreisfreie Stadt;Hessen;76,7;519
3241;Region Hannover, Landkreis;Niedersachsen;35,0;387
8111;Stuttgart, Landeshauptstadt, Kreisfreie Stadt;Baden-WÙrttemberg;62,6;370
5315;K_ln, Kreisfreie Stadt;Nordrhein-Westfalen;35,9;364
4011;Bremen, Kreisfreie Stadt;Bremen;54,0;294
5111;DÙsseldorf, Kreisfreie Stadt;Nordrhein-Westfalen;40,5;239
9564;NÙrnberg, Stadt;Bayern;44,5;218
5113;Essen, Kreisfreie Stadt;Nordrhein-Westfalen;36,8;208
5314;Bonn, Kreisfreie Stadt;Nordrhein-Westfalen;64,4;198
5515;MÙnster, Kreisfreie Stadt;Nordrhein-Westfalen;59,6;175
9772;Augsburg, Stadt;Bayern;52,7;142
6434;Hochtaunuskreis;Hessen;59,5;135
5711;Bielefeld, Kreisfreie Stadt;Nordrhein-Westfalen;39,1;128
7315;Mainz, Kreisfreie Stadt;Rheinland-Pfalz;63,7;128
14612;Dresden, Stadt;Sachsen;22,2;115
3101;Braunschweig, Kreisfreie Stadt;Niedersachsen;46,3;113
3403;Oldenburg (Oldenburg), Kreisfreie Stadt;Niedersachsen;71,7;113
9679;WÙrzburg, Stadt;Bayern;89,2;111
1003;LÙbeck, Hansestadt, Kreisfreie Stadt;Schleswig-Holstein;52,2;110
8212;Karlsruhe, Kreisfreie Stadt;Baden-WÙrttemberg;34,9;102
5382;Rhein-Sieg-Kreis;Nordrhein-Westfalen;17,4;101
6611;Kassel, Kreisfreie Stadt;Hessen;49,5;95
6414;Wiesbaden, Landeshauptstadt, Kreisfreie Stadt;Hessen;34,0;92
1054;Nordfriesland, Landkreis;Schleswig-Holstein;54,0;88
1002;Kiel, Landeshauptstadt, Kreisfreie Stadt;Schleswig-Holstein;36,6;87
5124;Wuppertal, Kreisfreie Stadt;Nordrhein-Westfalen;25,4;87
5334;St_dteregion Aachen (einschl. Stadt Aachen);Nordrhein-Westfalen;15,9;86
5158;Mettmann, Kreis;Nordrhein-Westfalen;17,6;84
6534;Marburg-Biedenkopf, Landkreis;Hessen;34,8;84
8116;Esslingen, Landkreis;Baden-WÙrttemberg;16,6;84
6411;Darmstadt, Kreisfreie Stadt;Hessen;55,5;81
6531;Gie¤en, Landkreis;Hessen;32,1;81
8311;Freiburg im Breisgau, Kreisfreie Stadt;Baden-WÙrttemberg;37,3;80
