"","district","district_year","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","HusbandAndWifeTotal","year","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal"
"1",2,"2y2013",14703,5406,8665,56,3046,6746,2013,13874,697,1425,3625,61,8066
"2",11,"11y2013",28924,10340,17275,106,6222,12963,2013,29211,2115,5100,9825,0,12171
"3",1001,"1001y2013",651,223,329,0,97,493,2013,1282,97,226,373,41,545
"4",1002,"1002y2013",1948,640,937,5,258,995,2013,2186,168,399,645,68,906
"5",1003,"1003y2013",1926,658,948,3,255,1002,2013,2100,180,549,667,60,644
"6",1004,"1004y2013",860,226,318,1,75,339,2013,1087,96,173,386,33,399
"7",1051,"1051y2013",596,126,194,0,58,724,2013,1553,133,357,687,21,355
"8",1053,"1053y2013",813,222,307,3,66,837,2013,1809,155,393,702,52,507
"9",1054,"1054y2013",874,215,288,3,54,2076,2013,1979,142,461,907,27,442
"10",1055,"1055y2013",904,245,324,6,52,1428,2013,2148,186,488,848,51,575
"11",1056,"1056y2013",1551,433,592,6,127,1855,2013,3316,215,598,1243,100,1160
"12",1057,"1057y2013",514,123,152,0,20,743,2013,1151,93,247,525,20,266
"13",1058,"1058y2013",1100,338,459,4,78,1292,2013,2717,220,660,1052,64,721
"14",1059,"1059y2013",704,167,228,6,36,1128,2013,1935,165,473,821,14,462
"15",1060,"1060y2013",1026,249,388,4,105,1098,2013,2729,196,589,1102,59,783
"16",1061,"1061y2013",550,139,227,1,69,566,2013,1348,95,345,526,19,363
"17",1062,"1062y2013",831,204,297,5,70,1285,2013,2204,96,287,758,65,998
"18",3101,"3101y2013",1772,750,997,10,202,1147,2013,2578,151,274,875,85,1193
"19",3102,"3102y2013",466,171,227,3,41,334,2013,1114,37,185,649,15,228
"20",3103,"3103y2013",577,162,255,7,73,663,2013,1519,61,169,649,61,579
"21",3151,"3151y2013",686,219,285,4,42,698,2013,1722,81,208,969,20,444
"22",3152,"3152y2013",1349,454,592,8,109,1000,2013,2485,106,256,926,163,1034
"23",3153,"3153y2013",739,242,340,5,70,731,2013,1376,80,185,716,20,375
"24",3154,"3154y2013",385,152,187,2,22,356,2013,901,54,114,429,21,283
"25",3155,"3155y2013",540,184,238,3,39,624,2013,1482,64,214,687,21,496
"26",3156,"3156y2013",291,84,113,1,19,311,2013,703,27,115,380,10,171
"27",3157,"3157y2013",397,152,187,5,18,512,2013,1396,59,167,686,44,440
