"","district","district_year","districtName","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","HusbandAndWifeTotal","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage"
"1",2,"2y2013",NA,14703,5406,8665,56,3046,6746,13874,697,1425,3625,61,8066,71557,5468,8.6
"2",11,"11y2013",NA,28924,10340,17275,106,6222,12963,29211,2115,5100,9825,0,12171,210083,19108,13.9
"3",1001,"1001y2013",NA,651,223,329,0,97,493,1282,97,226,373,41,545,5205,642,12.3
"4",1002,"1002y2013",NA,1948,640,937,5,258,995,2186,168,399,645,68,906,13070,1251,11.4
"5",1003,"1003y2013",NA,1926,658,948,3,255,1002,2100,180,549,667,60,644,11109,1212,11.6
"6",1004,"1004y2013",NA,860,226,318,1,75,339,1087,96,173,386,33,399,4458,557,12.5
"7",1051,"1051y2013",NA,596,126,194,0,58,724,1553,133,357,687,21,355,5003,645,8.6
"8",1053,"1053y2013",NA,813,222,307,3,66,837,1809,155,393,702,52,507,6191,747,7
"9",1054,"1054y2013",NA,874,215,288,3,54,2076,1979,142,461,907,27,442,5868,577,7.3
"10",1055,"1055y2013",NA,904,245,324,6,52,1428,2148,186,488,848,51,575,6489,697,7.3
"11",1056,"1056y2013",NA,1551,433,592,6,127,1855,3316,215,598,1243,100,1160,8815,878,6.1
"12",1057,"1057y2013",NA,514,123,152,0,20,743,1151,93,247,525,20,266,3582,372,6.4
"13",1058,"1058y2013",NA,1100,338,459,4,78,1292,2717,220,660,1052,64,721,7687,926,6.4
"14",1059,"1059y2013",NA,704,167,228,6,36,1128,1935,165,473,821,14,462,7878,948,8.6
"15",1060,"1060y2013",NA,1026,249,388,4,105,1098,2729,196,589,1102,59,783,7171,695,5.7
"16",1061,"1061y2013",NA,550,139,227,1,69,566,1348,95,345,526,19,363,4156,527,6.9
"17",1062,"1062y2013",NA,831,204,297,5,70,1285,2204,96,287,758,65,998,5067,493,4.7
"18",3101,"3101y2013",NA,1772,750,997,10,202,1147,2578,151,274,875,85,1193,9301,632,7.8
"19",3102,"3102y2013",NA,466,171,227,3,41,334,1114,37,185,649,15,228,4680,451,10.4
"20",3103,"3103y2013",NA,577,162,255,7,73,663,1519,61,169,649,61,579,3153,306,5.4
"21",3151,"3151y2013",NA,686,219,285,4,42,698,1722,81,208,969,20,444,4698,521,5.7
"22",3152,"3152y2013",NA,1349,454,592,8,109,1000,2485,106,256,926,163,1034,8725,679,7.5
"23",3153,"3153y2013",NA,739,242,340,5,70,731,1376,80,185,716,20,375,5995,495,9.9
"24",3154,"3154y2013",NA,385,152,187,2,22,356,901,54,114,429,21,283,3532,344,8.3
"25",3155,"3155y2013",NA,540,184,238,3,39,624,1482,64,214,687,21,496,5078,503,8.1
"26",3156,"3156y2013",NA,291,84,113,1,19,311,703,27,115,380,10,171,2954,275,8.7
"27",3157,"3157y2013",NA,397,152,187,5,18,512,1396,59,167,686,44,440,4153,431,6.7
"28",3158,"3158y2013",NA,366,116,158,6,24,590,1126,45,122,604,11,344,3791,349,6.9
"29",3241,"3241y2013",NA,7429,2719,3701,31,801,4833,11202,544,1396,4613,291,4358,48239,4589,9.1
"30",3251,"3251y2013",NA,775,231,354,8,90,924,2361,83,313,1252,51,662,5240,623,5.1
"31",3252,"3252y2013",NA,714,293,371,8,53,687,1568,112,255,732,19,450,6206,709,9.1
"32",3254,"3254y2013",NA,1393,434,579,7,104,1138,3191,181,415,1440,57,1098,10920,1118,8.5
"33",3255,"3255y2013",NA,291,111,136,3,17,297,692,50,122,381,8,131,2970,307,9.3
"34",3256,"3256y2013",NA,388,143,230,9,65,540,1570,78,228,733,126,405,3951,447,6.9
"35",3257,"3257y2013",NA,534,189,272,3,65,708,1675,62,186,731,58,638,5509,612,7.7
"36",3351,"3351y2013",NA,919,312,423,13,69,898,1984,114,358,1034,21,457,6621,743,8.3
"37",3352,"3352y2013",NA,744,330,449,5,92,1211,1997,143,305,1104,14,431,6133,662,6.9
"38",3353,"3353y2013",NA,879,238,355,9,84,1148,2543,73,284,1335,17,834,6233,627,5.4
"39",3354,"3354y2013",NA,170,63,85,3,12,212,528,28,95,264,8,133,2353,229,12
"40",3355,"3355y2013",NA,1018,331,440,3,92,1055,1910,76,229,880,55,670,5990,549,7.2
"41",3356,"3356y2013",NA,392,153,218,5,50,533,1253,75,210,577,11,380,2621,319,5
"42",3357,"3357y2013",NA,848,347,472,12,82,685,2002,95,279,1080,30,518,3888,438,5
"43",3358,"3358y2013",NA,828,268,353,8,51,592,1689,128,290,815,30,426,4927,616,7.5
"44",3359,"3359y2013",NA,710,231,367,6,112,1082,2206,112,310,1157,40,587,6509,760,6.8
"45",3360,"3360y2013",NA,312,96,145,2,35,390,1050,35,141,563,40,271,3197,355,7.8
"46",3361,"3361y2013",NA,544,171,260,9,53,640,1537,74,183,819,9,452,4006,311,6.2
"47",3401,"3401y2013",NA,428,156,248,0,82,304,868,59,163,398,20,228,4207,425,11.9
"48",3402,"3402y2013",NA,380,153,195,0,32,228,567,53,65,278,8,163,2335,276,10
"49",3403,"3403y2013",NA,807,279,439,5,134,839,1906,114,206,685,76,825,7144,807,9.1
"50",3404,"3404y2013",NA,1032,556,816,5,219,652,2114,98,166,871,86,893,6606,633,8.6
"51",3405,"3405y2013",NA,617,275,369,3,72,366,827,47,138,347,15,280,4633,484,13.7
"52",3451,"3451y2013",NA,323,100,140,4,25,587,1351,36,229,727,28,331,2813,242,5
"53",3452,"3452y2013",NA,979,390,467,3,56,1664,2436,200,396,1240,92,508,7713,832,8.8
"54",3453,"3453y2013",NA,684,193,249,0,38,717,2185,104,454,1249,16,362,4871,602,6.3
"55",3454,"3454y2013",NA,1434,509,647,7,100,1410,3981,186,620,2192,29,954,6207,790,4.1
"56",3455,"3455y2013",NA,523,144,189,5,30,793,1070,38,190,618,10,214,3004,286,6.8
"57",3456,"3456y2013",NA,469,171,225,2,45,645,1705,117,269,892,70,357,3192,324,5
"58",3457,"3457y2013",NA,635,193,263,3,52,946,1870,140,402,959,22,347,5385,658,7.2
"59",3458,"3458y2013",NA,432,141,177,3,26,582,1199,51,216,772,13,147,3247,329,5.3
"60",3459,"3459y2013",NA,902,291,455,7,118,1622,3466,143,484,2056,63,720,7776,722,4.5
"61",3460,"3460y2013",NA,494,224,312,5,69,615,1783,81,228,934,34,506,3076,393,4.3
"62",3461,"3461y2013",NA,342,132,177,3,31,362,1068,44,166,573,11,274,3490,418,8.5
"63",3462,"3462y2013",NA,246,79,97,1,8,534,704,33,132,334,14,191,1934,209,7.7
"64",4011,"4011y2013",NA,3979,1529,2639,14,1018,2148,5770,352,1192,2060,0,2166,28878,2603,11.5
"65",4012,"4012y2013",NA,981,334,588,7,223,471,1563,97,300,560,0,606,8319,834,16.3
"66",5111,"5111y2013",NA,3894,1463,2609,12,1023,2864,6837,342,813,2166,0,3516,27715,1596,9.8
"67",5112,"5112y2013",NA,2835,1160,1879,22,638,1727,6065,343,967,2055,1,2699,31555,2986,14.3
"68",5113,"5113y2013",NA,2595,1136,1924,11,699,2229,7537,437,859,2388,1,3852,35896,3445,13.6
"69",5114,"5114y2013",NA,1562,460,733,2,239,973,3479,196,584,1164,0,1535,12800,1029,12.5
"70",5116,"5116y2013",NA,1269,575,853,8,234,916,3913,277,758,1098,0,1780,15053,1650,12.7
"71",5117,"5117y2013",NA,599,242,389,4,126,966,2140,72,218,678,0,1172,6336,275,8.3
"72",5119,"5119y2013",NA,1181,370,581,4,187,935,2599,121,448,869,3,1158,13194,1377,13.6
"73",5120,"5120y2013",NA,661,173,249,1,66,419,1706,48,291,613,0,754,5420,563,10.3
"74",5122,"5122y2013",NA,725,248,368,3,108,703,2050,91,307,657,0,995,7398,791,9.9
"75",5124,"5124y2013",NA,2470,650,1152,6,451,1614,4637,225,695,1547,4,2166,21122,2188,13.1
"76",5154,"5154y2013",NA,1097,345,515,6,148,1441,4265,234,646,1691,0,1694,10171,1169,7.2
"77",5158,"5158y2013",NA,2037,687,945,10,219,1990,6445,285,883,2481,0,2796,18023,1486,7.9
"78",5162,"5162y2013",NA,1657,478,748,2,224,2077,6502,222,770,2225,0,3285,14622,1239,7.1
"79",5166,"5166y2013",NA,943,287,425,6,114,1329,4794,208,559,1670,2,2355,11316,1198,8
"80",5170,"5170y2013",NA,2085,672,980,2,286,2201,6606,283,900,2402,0,3021,17582,1814,8.2
"81",5314,"5314y2013",NA,1749,679,1185,0,457,1449,5448,153,528,1668,5,3094,11368,898,7.8
"82",5315,"5315y2013",NA,8615,3488,5574,35,1851,5190,11805,504,1736,3922,6,5637,52124,3718,10.6
"83",5316,"5316y2013",NA,967,371,552,4,161,611,2350,135,256,767,0,1192,6860,779,9.3
"84",5334,"5334y2013",NA,2987,1321,2058,20,649,2580,7422,273,977,2338,0,3834,25069,2338,9.8
"85",5358,"5358y2013",NA,1297,443,665,7,189,1177,3857,146,568,1419,0,1724,10793,1292,8.8
"86",5362,"5362y2013",NA,2166,643,1052,13,340,2112,6171,212,804,2232,0,2923,18403,1851,8.6
"87",5366,"5366y2013",NA,649,254,345,2,81,868,3158,102,464,1138,0,1454,6192,744,6.8
"88",5370,"5370y2013",NA,1095,344,503,5,125,1238,3834,164,518,1416,0,1736,9443,1194,8.1
"89",5374,"5374y2013",NA,964,328,464,6,101,1310,4516,167,568,1795,0,1986,8750,1005,6.7
"90",5378,"5378y2013",NA,904,248,360,1,90,1369,3791,101,402,1337,0,1951,9205,803,7.2
"91",5382,"5382y2013",NA,1752,662,1036,10,313,2790,8222,373,988,2751,2,4108,17986,2083,6.6
"92",5512,"5512y2013",NA,471,190,273,4,71,520,1399,63,180,486,0,670,5277,646,9.9
"93",5513,"5513y2013",NA,1737,613,1025,8,376,1180,3733,316,732,1309,0,1376,17946,1810,16
"94",5515,"5515y2013",NA,1587,559,833,1,243,1495,4446,165,417,1211,25,2628,9257,850,6.5
"95",5554,"5554y2013",NA,1453,395,563,3,142,1975,6273,252,838,2755,0,2428,8725,990,4.8
"96",5558,"5558y2013",NA,786,204,295,1,74,1466,3477,93,414,1428,0,1542,3945,493,3.7
"97",5562,"5562y2013",NA,2858,966,1505,11,452,2498,8622,440,1229,3280,0,3673,35158,3430,12.2
"98",5566,"5566y2013",NA,1572,429,598,1,141,1928,7323,257,1119,2894,0,3053,11609,1512,5.4
"99",5570,"5570y2013",NA,939,229,335,2,78,1124,4429,130,596,1784,0,1919,8821,960,6.6
"100",5711,"5711y2013",NA,1648,474,724,3,200,1305,5124,219,618,1844,7,2436,15533,1704,10.4
"101",5754,"5754y2013",NA,1068,364,533,8,139,1590,5683,193,763,2228,0,2499,10273,1162,5.9
"102",5758,"5758y2013",NA,823,241,382,5,115,1104,4044,159,394,1526,0,1965,8315,935,7
"103",5762,"5762y2013",NA,561,185,218,2,24,616,2856,112,307,1060,0,1377,3944,470,5.9
"104",5766,"5766y2013",NA,828,408,574,10,124,1585,5241,202,746,2126,0,2167,13725,1555,8.5
