"","district","DistrictName.y","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary","HusbandAndWifeTotal","PropwHochschulreife","PropwoHauptschulabschluss","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm","Pop0to17","Pop18to24","Pop25to44","Pop45to64","PopOver65","InfluxTotal","OutflowTotal","BelieversProtestant","BelieversTotal","BelieversRomanCatholic","BelieversOthersNoNoResponse","EntitledVoteTotal","TurnoutPercentage","VoteConservativesTotal","VoteSocialDemocratsTotal","VoteGreensTotal","VoteLiberalsTotal","VoteLeftTotal","VoteOthersTotal","FoundationsDensity100k","FoundationsTotal"
"1",2,"Hamburg",2013,"2y2013",14703,15837,1983,5406,8665,56,3046,20913,3393,238019,2998,6924,6746,58.1,5,71557,5468,8.6,755.3,1746342,847783,898559,2312,15.9,7.9,30.8,26.6,18.8,96782,84823,507877,1706696,167583,1031236,1281918,70.3,285927,288902,112826,42869,78296,82009,69.5,1194
"2",11,"Berlin",2013,"11y2013",28924,36034,6659,10340,17275,106,6222,43481,9659,503164,5993,11566,12963,41.7,7.2,210083,19108,13.9,891.68,3421829,1669853,1751976,3838,15.3,7.7,30.2,27.8,19.1,169466,127574,632865,3292365,293388,2366112,2505718,72.5,508643,439387,220737,63616,330507,224831,24,797
"3",1002,"Kiel",2013,"1002y2013",1948,1458,127,640,937,5,258,2787,668,24043,201,732,995,41.4,7.7,13070,1251,11.4,118.65,241533,116951,124582,2036,14.1,11.5,30.4,25.7,18.3,16354,14555,97355,235782,17368,121059,187464,70.4,38037,46070,18814,6688,9478,11599,36.6,87
"4",1003,"Lübeck",2013,"1003y2013",1926,1335,111,658,948,3,255,2784,539,24526,135,458,1002,30.7,8.6,11109,1212,11.6,214.21,212958,101734,111224,994,14.8,8.3,25.6,28.2,23.1,12136,9951,101500,210305,17793,91012,167287,67.8,37701,38703,12561,5244,7396,10424,52.2,110
"5",1004,"Neumünster",2013,"1004y2013",860,667,38,226,318,1,75,729,101,11737,111,292,339,36.7,8.8,4458,557,12.5,71.63,77058,37606,39452,1076,16.5,8.4,23.3,29.3,22.5,7518,7125,38356,77249,5019,33874,61095,65.4,14170,14092,2959,1925,2157,4085,18.1,14
"6",1051,"Dithmarschen",2013,"1051y2013",596,467,30,126,194,0,58,915,70,7248,71,354,724,22.9,8.6,5003,645,8.6,1428.11,132665,65124,67541,93,16.9,7.6,21.2,30.8,23.5,11012,10571,86458,133900,5975,41467,107468,69.4,32039,22264,4649,4775,3567,6355,24,32
"7",1053,"Herzogtum Lauenburg",2013,"1053y2013",813,780,188,222,307,3,66,1326,181,10547,149,463,837,28,8.6,6191,747,7,1263.01,189043,92291,96752,150,17.4,6.9,22.6,31.1,22,14922,13315,92422,187137,11277,83439,149486,74.6,44406,33059,9963,6427,5788,10839,14.9,28
"8",1054,"Nordfriesland",2013,"1054y2013",874,419,66,215,288,3,54,1333,188,9809,49,186,2076,22.3,7.2,5868,577,7.3,2082.76,161923,78853,83070,78,16.7,7.7,21.6,30.8,23.1,13928,13509,107248,163665,8818,47599,131157,71.1,39745,27230,8155,5949,3918,7312,54,88
"9",1055,"Ostholstein",2013,"1055y2013",904,961,72,245,324,6,52,1999,255,14026,113,416,1428,26.8,8.7,6489,697,7.3,1392.65,197835,95235,102600,142,15.1,6.5,20.4,31.8,26.2,14925,13571,114638,198413,12441,71334,164625,73,48856,37612,9332,7433,5102,10447,19.7,39
"10",1056,"Pinneberg",2013,"1056y2013",1551,1529,96,433,592,6,127,2452,452,20390,299,841,1855,35,6.5,8815,878,6.1,664.28,301223,146892,154331,453,17.1,7,23.4,30.7,21.9,23155,20205,121116,296341,19019,156206,235610,76,72006,55371,15291,9863,8910,15932,13.8,41
