"","district","district_year","districtName","bodily.harm","dangerous.bodily.harm","violent.crime","murder.and.manslaughter","robbery","HusbandAndWifeTotal","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm","CrimeRate","Pop_0_17","Pop_18_24","Pop_25_44","Pop_45_64","Pop_over_65"
"1",2,"2y2013","Hamburg",14703,5406,8665,56,3046,6746,13874,697,1425,3625,61,8066,71557,5468,8.6,755.3,1746342,847783,898559,2312,174.421734116227,15.9,7.9,30.8,26.6,18.8
"2",11,"11y2013","Berlin",28924,10340,17275,106,6222,12963,29211,2115,5100,9825,0,12171,210083,19108,13.9,891.68,3421829,1669853,1751976,3838,181.832581347578,15.3,7.7,30.2,27.8,19.1
"3",1001,"1001y2013","Flensburg",651,223,329,0,97,493,1282,97,226,373,41,545,5205,642,12.3,56.74,83971,41322,42649,1480,115.51607102452,14.8,11.3,26.1,27.1,20.6
"4",1002,"1002y2013","Kiel",1948,640,937,5,258,995,2186,168,399,645,68,906,13070,1251,11.4,118.65,241533,116951,124582,2036,106.817701928929,14.1,11.5,30.4,25.7,18.3
"5",1003,"1003y2013","Lübeck",1926,658,948,3,255,1002,2100,180,549,667,60,644,11109,1212,11.6,214.21,212958,101734,111224,994,119.741920942158,14.8,8.3,25.6,28.2,23.1
"6",1004,"1004y2013","Neumünster",860,226,318,1,75,339,1087,96,173,386,33,399,4458,557,12.5,71.63,77058,37606,39452,1076,97.3292844351008,16.5,8.4,23.3,29.3,22.5
"7",1051,"1051y2013","Dithmarschen",596,126,194,0,58,724,1553,133,357,687,21,355,5003,645,8.6,1428.11,132665,65124,67541,93,43.7191422002789,16.9,7.6,21.2,30.8,23.5
"8",1053,"1053y2013","Herzogtum Lauenburg",813,222,307,3,66,837,1809,155,393,702,52,507,6191,747,7,1263.01,189043,92291,96752,150,34.9126918214374,17.4,6.9,22.6,31.1,22
"9",1054,"1054y2013","Nordfriesland",874,215,288,3,54,2076,1979,142,461,907,27,442,5868,577,7.3,2082.76,161923,78853,83070,78,33.3491844889237,16.7,7.7,21.6,30.8,23.1
"10",1055,"1055y2013","Ostholstein",904,245,324,6,52,1428,2148,186,488,848,51,575,6489,697,7.3,1392.65,197835,95235,102600,142,26.2845300376576,15.1,6.5,20.4,31.8,26.2
"11",1056,"1056y2013","Pinneberg",1551,433,592,6,127,1855,3316,215,598,1243,100,1160,8815,878,6.1,664.28,301223,146892,154331,453,42.1614551345681,17.1,7,23.4,30.7,21.9
"12",1057,"1057y2013","Plön",514,123,152,0,20,743,1151,93,247,525,20,266,3582,372,6.4,1083.18,126643,61181,65462,117,15.7924243740278,16.4,6.6,20.1,32,24.9
"13",1058,"1058y2013","Rendsburg-Eckernförde",1100,338,459,4,78,1292,2717,220,660,1052,64,721,7687,926,6.4,2186.26,268075,131328,136747,123,29.0963349808822,17.6,7,21.5,31.6,22.3
"14",1059,"1059y2013","Schleswig-Flensburg",704,167,228,6,36,1128,1935,165,473,821,14,462,7878,948,8.6,2071.35,195135,96268,98867,94,18.4487662387578,17.6,7.3,21.3,31.2,22.6
"15",1060,"1060y2013","Segeberg",1026,249,388,4,105,1098,2729,196,589,1102,59,783,7171,695,5.7,1344.38,263202,129249,133953,196,39.8933138805936,17.2,6.9,23.7,31,21.1
