"","district","FoundationsDensity100k","FoundationsTotal"
"1","Schweinfurt, Stadt",103.6,54
"2","Würzburg, Stadt",89.2,111
"3","Bayreuth, Stadt",80,57
"4","Kaufbeuren, Stadt",77.2,32
"5","Frankfurt am Main, Kreisfreie Stadt",76.7,519
"6","Oldenburg (Oldenburg), Kreisfreie Stadt",71.7,113
"7","Hamburg",69.5,1194
"8","München, Landeshauptstadt",65.6,896
"9","Memmingen, Stadt",65.5,27
"10","Bonn, Kreisfreie Stadt",64.4,198
"11","Mainz, Kreisfreie Stadt",63.7,128
"12","Ansbach, Stadt",63.1,25
"13","Stuttgart, Landeshauptstadt, Kreisfreie Stadt",62.6,370
"14","Bamberg, Stadt",62.2,44
"15","Passau, Stadt",61.7,30
"16","Hof, Stadt",60.7,27
"17","Kempten (Allgäu)",60.7,39
"18","Münster, Kreisfreie Stadt",59.6,175
"19","Hochtaunuskreis",59.5,135
"20","Ulm, Universitätsstadt, Kreisfreie Stadt",56.2,66
"21","Darmstadt, Kreisfreie Stadt",55.5,81
"22","Regensburg, Stadt",55,75
"23","Speyer, Kreisfreie Stadt",54.3,27
"24","Bremen, Kreisfreie Stadt",54,294
"25","Nordfriesland, Landkreis",54,88
"26","Coburg, Stadt",53.7,22
"27","Augsburg, Stadt",52.7,142
"28","Lübeck, Hansestadt, Kreisfreie Stadt",52.2,110
"29","Baden-Baden, Kreisfreie Stadt",49.6,26
"30","Kassel, Kreisfreie Stadt",49.5,95
"31","Neustadt an der Weinstraße, Kreisfreie Stadt",47.8,25
"32","Braunschweig, Kreisfreie Stadt",46.3,113
"33","Heidelberg, Kreisfreie Stadt",45.8,68
"34","Nürnberg, Stadt",44.5,218
"35","Trier, Kreisfreie Stadt",44.2,47
"36","Osnabrück, Kreisfreie Stadt",44,68
"37","Flensburg, Kreisfreie Stadt",41.1,34
"38","Lindau (Bodensee), Landkreis",40.8,32
"39","Amberg, Stadt",40.7,17
"40","Vechta, Landkreis",40.7,54
"41","Düsseldorf, Kreisfreie Stadt",40.5,239
"42","Weimar, krsfr. Stadt",39.8,25
"43","Garmisch-Partenkirchen, Landkreis",39.2,33
"44","Bielefeld, Kreisfreie Stadt",39.1,128
"45","Lüchow-Dannenberg, Landkreis",38.7,19
"46","Rosenheim, Stadt",38.6,23
"47","Eisenach, krsfr. Stadt",38.4,16
"48","Starnberg, Landkreis",38.2,49
"49","Freiburg im Breisgau, Kreisfreie Stadt",37.3,80
"50","Kaiserslautern, Kreisfreie Stadt",37.1,36
"51","Holzminden, Landkreis",36.9,27
"52","Weißenburg-Gunzenhausen, Landkreis",36.9,34
"53","Landau in der Pfalz, Kreisfreie Stadt",36.8,16
"54","Essen, Kreisfreie Stadt",36.8,208
"55","Donau-Ries, Landkreis",36.7,47
"56","Kiel, Landeshauptstadt, Kreisfreie Stadt",36.6,87
"57","Lüneburg, Landkreis",36.1,63
"58","Weiden i.d.OPf., Stadt",35.9,15
"59","Köln, Kreisfreie Stadt",35.9,364
"60","Tübingen, Landkreis",35.2,75
"61","Region Hannover, Landkreis",35,387
"62","Karlsruhe, Kreisfreie Stadt",34.9,102
"63","Marburg-Biedenkopf, Landkreis",34.8,84
"64","Aschaffenburg, Stadt",34.1,23
"65","Miesbach, Landkreis",34.1,32
"66","Wiesbaden, Landeshauptstadt, Kreisfreie Stadt",34,92
"67","Bodenseekreis",33.7,69
"68","Potsdam, Kreisfreie Stadt",33,52
"69","Kulmbach, Landkreis",32.6,24
"70","Zweibrücken, Kreisfreie Stadt",32.2,11
"71","Gießen, Landkreis",32.1,81
"72","Pirmasens, Kreisfreie Stadt",32,13
"73","Koblenz, Kreisfreie Stadt",31.5,34
"74","Soltau-Fallingbostel, Landkreis",30.9,42
"75","Goslar, Landkreis",30.8,43
"76","Kitzingen, Landkreis",30.8,27
"77","Erlangen, Stadt",30.7,32
"78","Fürth, Stadt",30,35
"79","Göttingen, Landkreis",29.4,73
"80","Straubing, Stadt",29.1,13
"81","Plön, Landkreis",29.1,37
"82","Wolfenbüttel, Landkreis",29.1,35
"83","Bad Kreuznach, Landkreis",29,45
"84","Pforzheim, Kreisfreie Stadt",28.6,33
"85","Celle, Landkreis",28.4,50
"86","Bad Dürkheim, Landkreis",28.3,37
"87","Hameln-Pyrmont, Landkreis",28.1,42
"88","Hohenlohekreis",28,30
"89","Uelzen, Landkreis",27.9,26
"90","Friesland, Landkreis",27.6,27
"91","Krefeld, Kreisfreie Stadt",27.5,61
"92","Ravensburg, Landkreis",27.4,74
"93","Rotenburg (Wümme), Landkreis",27.1,44
"94","Coesfeld, Kreis",27,58
"95","Odenwaldkreis",26.9,26
"96","Sigmaringen, Landkreis",26.7,34
"97","Neustadt a.d.Aisch-Bad Windsheim, Landkreis",26.7,26
"98","Mannheim, Universitätsstadt, Kreisfreie Stadt",26.4,77
"99","Main-Taunus-Kreis",26.2,59
"100","Oberallgäu, Landkreis",26.2,39
"101","Offenbach am Main, Kreisfreie Stadt",26.1,30
"102","Kronach, Landkreis",25.9,18
"103","Neuwied, Landkreis",25.5,46
"104","Fulda, Landkreis",25.5,55
"105","Wuppertal, Kreisfreie Stadt",25.4,87
"106","Osterholz, Landkreis",25.3,28
"107","Kleve, Kreis",25.2,76
"108","Wunsiedel i.Fichtelgebirge, Landkreis",25.2,19
"109","Solingen, Kreisfreie Stadt",25.1,39
"110","Miltenberg, Landkreis",25,32
"111","Rhön-Grabfeld, Landkreis",24.9,20
"112","Biberach, Landkreis",24.5,46
"113","Northeim, Landkreis",24.2,33
"114","München, Landkreis",24,77
"115","Dithmarschen, Landkreis",24,32
"116","Berlin",24,797
"117","Worms, Kreisfreie Stadt",23.9,19
"118","Landsberg am Lech, Landkreis",23.8,27
"119","Frankenthal (Pfalz), Kreisfreie Stadt",23.6,11
"120","Werra-Meißner-Kreis",23.6,24
"121","Ansbach, Landkreis",23.6,42
"122","Jena, krsfr. Stadt",23.5,25
"123","Wesermarsch, Landkreis",23.5,21
"124","Landshut, Stadt",23.3,15
"125","Günzburg, Landkreis",23.3,28
"126","Hof, Landkreis",23.3,23
"127","Saarbrücken, Regionalverband",23.2,76
"128","Ostallgäu, Landkreis",23.2,31
"129","Bad Kissingen, Landkreis",23.2,24
"130","Birkenfeld, Landkreis",23.1,19
"131","Rendsburg-Eckernförde, Landkreis",23.1,62
"132","Wittmund, Landkreis",23,13
"133","Wetteraukreis",22.9,67
"134","Lippe, Kreis",22.7,79
"135","Reutlingen, Landkreis",22.7,62
"136","Cloppenburg, Landkreis",22.6,36
"137","Weilheim-Schongau, Landkreis",22.5,29
"138","Heilbronn, Kreisfreie Stadt",22.3,26
"139","Nienburg (Weser), Landkreis",22.2,27
"140","Gütersloh, Kreis",22.2,78
"141","Dresden, Stadt",22.2,115
"142","Emden, Kreisfreie Stadt",22.1,11
"143","Saarpfalz-Kreis",22.1,32
"144","Kreisfreie Stadt Schwerin, Landeshauptstadt",21.9,20
"145","Bayreuth, Landkreis",21.9,23
"146","Siegen-Wittgenstein, Kreis",21.7,60
"147","Bad Tölz-Wolfratshausen, Landkreis",21.7,26
"148","Rheingau-Taunus-Kreis",21.6,39
"149","Ludwigshafen am Rhein, Kreisfreie Stadt",21.4,34
"150","Osnabrück, Landkreis",21.4,75
"151","Hildesheim, Landkreis",21.3,59
