"","district","FoundationsDensity100k","FoundationsTotal"
"1",7131,15.9,20
"2",9771,7.9,10
"3",8425,18.2,34
"4",16077,8.3,8
"5",7132,10.8,14
"6",15081,13.7,12
"7",9171,14.1,15
"8",7331,5.6,7
"9",9371,21.2,22
"10",9361,40.7,17
"11",3451,11,13
"12",15082,12.3,21
"13",9561,23.6,42
"14",9571,63.1,25
"15",9661,9.9,17
"16",9671,34.1,23
"17",9761,14.7,35
"18",9772,52.7,142
"19",3452,16.6,31
"20",7332,28.3,37
"21",9672,23.2,24
"22",7133,29,45
"23",9173,21.7,26
"24",8211,49.6,26
"25",9461,7.7,11
"26",9471,62.2,44
"27",12060,8.7,15
"28",14625,6.1,19
"29",9462,21.9,23
"30",9472,80,57
"31",9172,10.9,11
"32",6431,16.8,44
"33",11,24,797
"34",7231,11.6,13
"35",8426,24.5,46
"36",5711,39.1,128
"37",7134,23.1,19
"38",8115,13.7,50
"39",5911,14.1,51
"40",8435,33.7,69
"41",5314,64.4,198
"42",15083,7.4,13
"43",5554,15.9,58
"44",5512,6.8,8
"45",12051,12.6,9
"46",3101,46.3,113
"47",8315,17,42
"48",4011,54,294
"49",4012,20.3,22
"50",15084,8.5,16
"51",8235,13.2,20
"52",3351,28.4,50
"53",9372,10.4,13
"54",14511,7.1,17
"55",3453,22.6,36
"56",9463,11.4,10
"57",9473,53.7,22
"58",7135,3.1,2
"59",5558,27,58
"60",12052,5,5
"61",3352,18.7,37
"62",9174,5.7,8
"63",12061,6.9,11
"64",6432,12.7,36
"65",6411,55.5,81
"66",9271,17.4,20
"67",3401,13.6,10
"68",15001,15.2,13
"69",3251,14.3,30
"70",9773,19.3,18
"71",9279,7.7,7
"72",1051,24,32
"73",9779,36.7,47
"74",7333,15.8,12
"75",5913,12.3,70
"76",14612,22.2,115
"77",5112,11.9,58
"78",5358,12.8,33
"79",5111,40.5,239
"80",9175,18.6,24
"81",16061,14.7,15
"82",9176,16.1,20
"83",7232,19.8,19
"84",16056,38.4,16
"85",12062,7.3,8
"86",3402,22.1,11
"87",8316,12.8,20
"88",3454,17,53
"89",5954,19.1,62
"90",8236,8.4,16
"91",9177,4.7,6
"92",16051,18.8,38
"93",9572,4.6,6
"94",9562,30.7,32
"95",14521,8.1,29
"96",5113,36.8,208
"97",8116,16.6,84
"98",5366,14.9,28
"99",9474,15.9,18
"100",7311,23.6,11
"101",12053,8.5,5
"102",6412,76.7,519
"103",8311,37.3,80
"104",9178,17,28
"105",8237,13,15
"106",9272,11.5,9
"107",3455,27.6,27
"108",6631,25.5,55
"109",9179,14.3,29
"110",9563,11.5,13
"111",9573,30,35
"112",9180,39.2,33
"113",5513,8.1,21
"114",16052,6.3,6
"115",7334,12.9,16
"116",6531,32.1,81
"117",3151,9.4,16
"118",8117,17,42
"119",14626,14.9,40
"120",3153,30.8,43
"121",16067,6.6,9
"122",3152,29.4,73
"123",3456,15,20
"124",16076,2.9,3
"125",6433,10.7,27
"126",9774,23.3,28
"127",5754,22.2,78
"128",5914,13.3,25
"129",15002,13,30
"130",2,69.5,1194
"131",3252,28.1,42
"132",5915,6.8,12
"133",3353,16.7,40
"134",15085,13.3,30
"135",9674,8.3,7
"136",12063,3.3,5
"137",8221,45.8,68
"138",8135,14.1,18
"139",8121,22.3,26
"140",8125,14.5,47
"141",5370,8.5,21
"142",3154,12.1,11
"143",5758,17.2,43
"144",5916,4.5,7
