"","year","district","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal"
"3",2013,1001,1282,97,226,373,41,545
"4",2013,1002,2186,168,399,645,68,906
"5",2013,1003,2100,180,549,667,60,644
"6",2013,1004,1087,96,173,386,33,399
"7",2013,1051,1553,133,357,687,21,355
"8",2013,1053,1809,155,393,702,52,507
"9",2013,1054,1979,142,461,907,27,442
"10",2013,1055,2148,186,488,848,51,575
"11",2013,1056,3316,215,598,1243,100,1160
"12",2013,1057,1151,93,247,525,20,266
"13",2013,1058,2717,220,660,1052,64,721
"14",2013,1059,1935,165,473,821,14,462
"15",2013,1060,2729,196,589,1102,59,783
"16",2013,1061,1348,95,345,526,19,363
"17",2013,1062,2204,96,287,758,65,998
"21",2013,3101,2578,151,274,875,85,1193
"22",2013,3102,1114,37,185,649,15,228
"23",2013,3103,1519,61,169,649,61,579
"24",2013,3151,1722,81,208,969,20,444
"25",2013,3152,2485,106,256,926,163,1034
"26",2013,3153,1376,80,185,716,20,375
"27",2013,3154,901,54,114,429,21,283
"28",2013,3155,1482,64,214,687,21,496
"29",2013,3156,703,27,115,380,10,171
"30",2013,3157,1396,59,167,686,44,440
"31",2013,3158,1126,45,122,604,11,344
"33",2013,3241,11202,544,1396,4613,291,4358
"34",2013,3241001,4743,267,588,1599,172,2117
"35",2013,3251,2361,83,313,1252,51,662
"36",2013,3252,1568,112,255,732,19,450
"37",2013,3254,3191,181,415,1440,57,1098
"38",2013,3255,692,50,122,381,8,131
"39",2013,3256,1570,78,228,733,126,405
"40",2013,3257,1675,62,186,731,58,638
"42",2013,3351,1984,114,358,1034,21,457
"43",2013,3352,1997,143,305,1104,14,431
"44",2013,3353,2543,73,284,1335,17,834
"45",2013,3354,528,28,95,264,8,133
"46",2013,3355,1910,76,229,880,55,670
"47",2013,3356,1253,75,210,577,11,380
"48",2013,3357,2002,95,279,1080,30,518
"49",2013,3358,1689,128,290,815,30,426
"50",2013,3359,2206,112,310,1157,40,587
"51",2013,3360,1050,35,141,563,40,271
"52",2013,3361,1537,74,183,819,9,452
"54",2013,3401,868,59,163,398,20,228
"55",2013,3402,567,53,65,278,8,163
"56",2013,3403,1906,114,206,685,76,825
"57",2013,3404,2114,98,166,871,86,893
"58",2013,3405,827,47,138,347,15,280
"59",2013,3451,1351,36,229,727,28,331
"60",2013,3452,2436,200,396,1240,92,508
"61",2013,3453,2185,104,454,1249,16,362
"62",2013,3454,3981,186,620,2192,29,954
"63",2013,3455,1070,38,190,618,10,214
"64",2013,3456,1705,117,269,892,70,357
"65",2013,3457,1870,140,402,959,22,347
"66",2013,3458,1199,51,216,772,13,147
"67",2013,3459,3466,143,484,2056,63,720
"68",2013,3460,1783,81,228,934,34,506
"69",2013,3461,1068,44,166,573,11,274
"70",2013,3462,704,33,132,334,14,191
"72",2013,4011,5770,352,1192,2060,0,2166
"73",2013,4012,1563,97,300,560,0,606
"76",2013,5111,6837,342,813,2166,0,3516
"77",2013,5112,6065,343,967,2055,1,2699
"78",2013,5113,7537,437,859,2388,1,3852
"79",2013,5114,3479,196,584,1164,0,1535
"80",2013,5116,3913,277,758,1098,0,1780
"81",2013,5117,2140,72,218,678,0,1172
"82",2013,5119,2599,121,448,869,3,1158
"83",2013,5120,1706,48,291,613,0,754
"84",2013,5122,2050,91,307,657,0,995
"85",2013,5124,4637,225,695,1547,4,2166
"86",2013,5154,4265,234,646,1691,0,1694
"87",2013,5158,6445,285,883,2481,0,2796
"88",2013,5162,6502,222,770,2225,0,3285
"89",2013,5166,4794,208,559,1670,2,2355
"90",2013,5170,6606,283,900,2402,0,3021
"92",2013,5314,5448,153,528,1668,5,3094
"93",2013,5315,11805,504,1736,3922,6,5637
"94",2013,5316,2350,135,256,767,0,1192
"95",2013,5334,7422,273,977,2338,0,3834
"96",2013,5334002,3501,137,416,919,0,2029
"97",2013,5354,NA,NA,NA,NA,NA,NA
"98",2013,5358,3857,146,568,1419,0,1724
"99",2013,5362,6171,212,804,2232,0,2923
"100",2013,5366,3158,102,464,1138,0,1454
"101",2013,5370,3834,164,518,1416,0,1736
"102",2013,5374,4516,167,568,1795,0,1986
"103",2013,5378,3791,101,402,1337,0,1951
"104",2013,5382,8222,373,988,2751,2,4108
"106",2013,5512,1399,63,180,486,0,670
"107",2013,5513,3733,316,732,1309,0,1376
"108",2013,5515,4446,165,417,1211,25,2628
"109",2013,5554,6273,252,838,2755,0,2428
"110",2013,5558,3477,93,414,1428,0,1542
"111",2013,5562,8622,440,1229,3280,0,3673
"112",2013,5566,7323,257,1119,2894,0,3053
"113",2013,5570,4429,130,596,1784,0,1919
"115",2013,5711,5124,219,618,1844,7,2436
"116",2013,5754,5683,193,763,2228,0,2499
"117",2013,5758,4044,159,394,1526,0,1965
"118",2013,5762,2856,112,307,1060,0,1377
"119",2013,5766,5241,202,746,2126,0,2167
"120",2013,5770,5282,202,646,1981,1,2452
"121",2013,5774,4770,139,772,1930,5,1924
"123",2013,5911,4819,191,656,1741,4,2227
