"","year","district","InfluxTotal","OutflowTotal"
"3",2013,1001,7701,6980
"4",2013,1002,16354,14555
"5",2013,1003,12136,9951
"6",2013,1004,7518,7125
"7",2013,1051,11012,10571
"8",2013,1053,14922,13315
"9",2013,1054,13928,13509
"10",2013,1055,14925,13571
"11",2013,1056,23155,20205
"12",2013,1057,9311,8758
"13",2013,1058,20450,19444
"14",2013,1059,16080,15545
"15",2013,1060,19516,17899
"16",2013,1061,9570,9105
"17",2013,1062,17506,15484
"21",2013,3101,19378,17406
"22",2013,3102,4340,3720
"23",2013,3103,6703,5685
"24",2013,3151,10449,9748
"25",2013,3152,24465,23508
"26",2013,3153,8180,7738
"27",2013,3154,5495,4893
"28",2013,3155,6500,6368
"29",2013,3156,3458,3568
"30",2013,3157,6737,6014
"31",2013,3158,7082,6605
"33",2013,3241,71121,62582
"34",2013,3241001,34846,30697
"35",2013,3251,14981,14173
"36",2013,3252,8160,7867
"37",2013,3254,15670,15173
"38",2013,3255,4122,4063
"39",2013,3256,9104,9015
"40",2013,3257,10248,9736
"42",2013,3351,10486,9918
"43",2013,3352,11674,11353
"44",2013,3353,18131,15626
"45",2013,3354,3728,3624
"46",2013,3355,14598,13285
"47",2013,3356,6263,5753
"48",2013,3357,9931,9887
"49",2013,3358,8880,7869
"50",2013,3359,14952,13877
"51",2013,3360,6093,5783
"52",2013,3361,8044,7404
"54",2013,3401,4155,3459
"55",2013,3402,2956,2706
"56",2013,3403,10430,9362
"57",2013,3404,11396,10494
"58",2013,3405,4657,4896
"59",2013,3451,7927,7213
"60",2013,3452,12648,11449
"61",2013,3453,15944,15926
"62",2013,3454,20224,18902
"63",2013,3455,5822,5516
"64",2013,3456,6426,6227
"65",2013,3457,10766,9680
"66",2013,3458,12029,11339
"67",2013,3459,22764,22094
"68",2013,3460,13359,12979
"69",2013,3461,4959,4782
"70",2013,3462,4011,3706
"72",2013,4011,29266,25832
"73",2013,4012,7195,6087
"76",2013,5111,43090,38659
"77",2013,5112,24983,22902
"78",2013,5113,26539,21074
"79",2013,5114,11839,10874
"80",2013,5116,12435,11071
"81",2013,5117,7320,6346
"82",2013,5119,8788,8520
"83",2013,5120,3967,3967
"84",2013,5122,6570,5475
"85",2013,5124,16403,14584
"86",2013,5154,19326,17734
"87",2013,5158,23969,22676
"88",2013,5162,24216,21847
"89",2013,5166,15685,14973
"90",2013,5170,22228,21482
"92",2013,5314,25266,24118
"93",2013,5315,62317,53838
"94",2013,5316,7743,6533
"95",2013,5334,36088,32856
"96",2013,5334002,19541,17956
"97",2013,5354,NA,NA
"98",2013,5358,15628,14920
"99",2013,5362,30807,28374
"100",2013,5366,11035,10493
"101",2013,5370,15047,13944
"102",2013,5374,14577,14592
"103",2013,5378,15363,14263
"104",2013,5382,37775,35162
"106",2013,5512,3861,3680
"107",2013,5513,12371,10951
"108",2013,5515,21450,18772
"109",2013,5554,23890,23195
"110",2013,5558,10540,10104
"111",2013,5562,26800,25748
"112",2013,5566,20757,20108
"113",2013,5570,13020,12582
"115",2013,5711,16193,15130
"116",2013,5754,21315,20258
"117",2013,5758,13533,12859
"118",2013,5762,7643,7890
"119",2013,5766,17913,18026
"120",2013,5770,15668,15206
"121",2013,5774,15715,15297
"123",2013,5911,17764,16821
"124",2013,5913,30562,25469
"125",2013,5914,7905,7318
"126",2013,5915,6647,6595
"127",2013,5916,7011,6228
"128",2013,5954,15200,14806
"129",2013,5958,10939,11543
"130",2013,5962,28505,30577
"131",2013,5966,5711,5910
"132",2013,5970,14737,14452
"133",2013,5974,14781,14570
"134",2013,5978,18018,17517
"137",2013,6411,13282,11574
"138",2013,6412,60667,50228
"139",2013,6413,14127,12713
"140",2013,6414,17694,16466
"141",2013,6431,16662,15050
"142",2013,6432,20780,19388
"143",2013,6433,19630,17110
"144",2013,6434,16802,15433
"145",2013,6435,27291,24660
"146",2013,6436,17338,15338
"147",2013,6437,6141,6101
"148",2013,6438,24085,21861
"149",2013,6439,12364,11488
"150",2013,6440,20699,18392
"152",2013,6531,26557,25424
"153",2013,6532,13982,13855
"154",2013,6533,11489,10932
"155",2013,6534,17251,16335
"156",2013,6535,4872,4947
"158",2013,6611,14497,13066
"159",2013,6631,12690,12046
"160",2013,6632,6435,6227
"161",2013,6633,13287,12790
"162",2013,6634,9282,9151
"163",2013,6635,8093,7965
"164",2013,6636,5337,5130
"167",2013,7111,8561,7391
"168",2013,7131,8885,8063
"169",2013,7132,8961,9230
"170",2013,7133,11011,10415
"171",2013,7134,5165,5036
"172",2013,7135,4083,3965
"173",2013,7137,13573,13052
"174",2013,7138,11347,10907
"175",2013,7140,6893,6725
"176",2013,7141,8674,8510
"177",2013,7143,15201,14597
"179",2013,7211,13806,12987
"180",2013,7231,7554,7311
"181",2013,7232,7339,6824
"182",2013,7233,4066,4114
"183",2013,7235,10271,9445
"185",2013,7311,3193,2793
"186",2013,7312,7340,6934
"187",2013,7313,3304,3017
"188",2013,7314,10739,9407
"189",2013,7315,15750,14362
"190",2013,7316,3202,2903
"191",2013,7317,2109,1851
"192",2013,7318,2886,2750
"193",2013,7319,5080,4386
"194",2013,7320,1911,1759
"195",2013,7331,8878,8566
"196",2013,7332,9050,8201
"197",2013,7333,5126,5117
"198",2013,7334,8888,8144
"199",2013,7335,7160,7141
"200",2013,7336,4412,4607
"201",2013,7337,7758,7311
"202",2013,7338,10303,8932
"203",2013,7339,14987,13545
"204",2013,7340,5189,5265
"207",2013,8111,49626,44084
"208",2013,8115,28498,25523
"209",2013,8116,38359,34540
"210",2013,8117,17016,15317
"211",2013,8118,41581,37175
"212",2013,8119,28585,25755
"213",2013,8121,9551,8862
"214",2013,8125,24924,23263
"215",2013,8126,7978,7346
"216",2013,8127,13180,12158
"217",2013,8128,6722,6280
"218",2013,8135,7752,6976
"219",2013,8136,17358,16422
"221",2013,8211,4115,3281
"222",2013,8212,35077,32106
"223",2013,8215,29691,27023
"224",2013,8216,14636,13516
"225",2013,8221,17011,15455
"226",2013,8222,24138,21914
"227",2013,8225,8646,8393
"228",2013,8226,40067,36101
"229",2013,8231,9519,8049
"230",2013,8235,11283,10247
"231",2013,8236,12994,11950
"232",2013,8237,7257,7212
"234",2013,8311,19989,18294
"235",2013,8315,22776,20506
"236",2013,8316,10651,9707
"237",2013,8317,25237,23521
"238",2013,8325,7816,7851
"239",2013,8326,13439,12535
"240",2013,8327,8658,7809
"241",2013,8335,25404,22012
"242",2013,8336,16400,14679
"243",2013,8337,12263,11254
"245",2013,8415,18865,17387
"246",2013,8416,18478,17262
"247",2013,8417,10952,10525
"248",2013,8421,11035,9924
"249",2013,8425,12005,11256
"250",2013,8426,12797,11807
"251",2013,8435,19530,17739
"252",2013,8436,20005,18716
"253",2013,8437,8537,8497
"256",2013,9161,10100,9026
"257",2013,9162,121340,107260
"258",2013,9163,4537,4002
"259",2013,9171,7361,6688
"260",2013,9172,7735,6893
"261",2013,9173,9134,7583
"262",2013,9174,11767,9466
"263",2013,9175,10642,8893
"264",2013,9176,8197,7603
"265",2013,9177,9799,8040
