"","district","DistrictName","year","district_year","bodilyHarm","robberyFromOrOutOfCars","robberyOfCars","dangerousBodilyHarm","violentCrime","murderAndManslaughter","robberyIncludingExtortionAndAttackOfCarDrivers","vandalism","vandalismGraffiti","streetCrime","burglaryDaylight","burglary"
"1",1001,"Flensburg",2013,"1001y2013",651,460,36,223,329,0,97,932,101,8876,100,313
"2",1002,"Kiel",2013,"1002y2013",1948,1458,127,640,937,5,258,2787,668,24043,201,732
"3",1003,"Lübeck",2013,"1003y2013",1926,1335,111,658,948,3,255,2784,539,24526,135,458
"4",1004,"Neumünster",2013,"1004y2013",860,667,38,226,318,1,75,729,101,11737,111,292
"5",10041,"Regionalverband Saarbrücken",2013,"10041y2013",2274,3451,132,879,1286,8,366,3578,521,32810,366,877
"6",10042,"Merzig-Wadern",2013,"10042y2013",364,385,31,114,163,3,33,753,59,5439,67,175
"7",10043,"Neunkirchen",2013,"10043y2013",644,751,39,192,278,2,62,1058,77,8468,81,204
"8",10044,"Saarlouis",2013,"10044y2013",939,927,74,301,399,1,80,1682,141,13373,216,461
"9",10045,"Saarpfalz-Kreis",2013,"10045y2013",497,732,41,217,272,4,42,1297,263,8477,128,287
"10",10046,"St. Wendel",2013,"10046y2013",272,231,11,82,100,1,12,522,34,3535,42,91
"11",1051,"Dithmarschen",2013,"1051y2013",596,467,30,126,194,0,58,915,70,7248,71,354
"12",1053,"Herzogtum Lauenburg",2013,"1053y2013",813,780,188,222,307,3,66,1326,181,10547,149,463
"13",1054,"Nordfriesland",2013,"1054y2013",874,419,66,215,288,3,54,1333,188,9809,49,186
"14",1055,"Ostholstein",2013,"1055y2013",904,961,72,245,324,6,52,1999,255,14026,113,416
"15",1056,"Pinneberg",2013,"1056y2013",1551,1529,96,433,592,6,127,2452,452,20390,299,841
"16",1057,"Plön",2013,"1057y2013",514,363,26,123,152,0,20,933,160,6379,56,241
"17",1058,"Rendsburg-Eckernförde",2013,"1058y2013",1100,921,86,338,459,4,78,1590,191,15916,291,899
"18",1059,"Schleswig-Flensburg",2013,"1059y2013",704,508,51,167,228,6,36,1026,97,8981,60,264
"19",1060,"Segeberg",2013,"1060y2013",1026,1422,124,249,388,4,105,1996,414,15540,240,727
"20",1061,"Steinburg",2013,"1061y2013",550,450,48,139,227,1,69,903,103,8452,119,330
"21",1062,"Stormarn",2013,"1062y2013",831,1282,197,204,297,5,70,1469,279,13494,438,1018
"22",11,"Berlin",2013,"11y2013",28924,36034,6659,10340,17275,106,6222,43481,9659,503164,5993,11566
"23",12051,"Brandenburg an der Havel",2013,"12051y2013",415,300,60,94,147,1,42,1599,952,7969,41,76
"24",12052,"Cottbus",2013,"12052y2013",456,365,173,186,270,1,64,1240,293,10169,43,93
"25",12053,"Frankfurt (Oder)",2013,"12053y2013",286,371,283,108,169,2,54,641,160,8195,27,52
"26",12054,"Potsdam",2013,"12054y2013",704,909,291,220,339,5,99,1860,698,16438,102,204
"27",12060,"Barnim",2013,"12060y2013",659,926,211,225,299,6,60,1281,259,13430,160,289
"28",12061,"Dahme-Spreewald",2013,"12061y2013",540,935,364,171,254,4,68,1243,286,14486,177,343
"29",12062,"Elbe-Elster",2013,"12062y2013",370,394,64,127,170,4,29,915,169,6848,30,88
"30",12063,"Havelland",2013,"12063y2013",559,831,193,207,283,2,64,1623,599,11646,208,401
"31",12064,"Märkisch-Oderland",2013,"12064y2013",603,753,242,202,288,5,68,1521,374,14588,191,369
"32",12065,"Oberhavel",2013,"12065y2013",943,925,169,262,359,1,69,1828,455,15323,277,532
"33",12066,"Oberspreewald-Lausitz",2013,"12066y2013",407,527,131,125,161,2,26,1066,344,9180,59,151
"34",12067,"Oder-Spree",2013,"12067y2013",463,864,271,168,287,3,95,1337,338,12631,130,236
"35",12068,"Ostprignitz-Ruppin",2013,"12068y2013",472,456,123,153,201,3,36,1008,153,8099,84,161
"36",12069,"Potsdam-Mittelmark",2013,"12069y2013",608,1287,255,176,243,3,49,1542,461,13036,238,463
"37",12070,"Prignitz",2013,"12070y2013",445,340,57,84,121,2,27,837,160,6099,39,114
"38",12071,"Spree-Neiße",2013,"12071y2013",400,491,219,129,187,3,43,919,148,8776,28,83
"39",12072,"Teltow-Fläming",2013,"12072y2013",564,1008,261,159,247,9,68,1187,232,10885,86,200
"40",12073,"Uckermark",2013,"12073y2013",403,356,155,168,227,6,49,1136,170,9159,62,146
"41",13003,"Rostock",2013,"13003y2013",937,926,258,459,659,9,184,2462,664,19059,111,229
"42",13004,"Schwerin",2013,"13004y2013",669,425,54,220,295,5,65,1410,374,11740,51,124
"43",13071,"Mecklenburgische Seenplatte",2013,"13071y2013",1005,870,179,316,403,3,79,2080,402,17538,72,169
"44",13072,"Landkreis Rostock",2013,"13072y2013",698,782,176,248,313,5,52,1650,245,12746,71,174
"45",13073,"Vorpommern-Rügen",2013,"13073y2013",1155,827,102,328,421,4,66,2268,516,16788,62,149
"46",13074,"Nordwestmecklenburg",2013,"13074y2013",694,621,116,204,256,5,46,1476,208,10716,40,118
"47",13075,"Vorpommern-Greifswald",2013,"13075y2013",973,809,122,396,527,6,118,2514,542,18003,160,399
"48",13076,"Ludwigslust-Parchim",2013,"13076y2013",737,775,174,299,390,3,77,1621,152,13422,64,159
"49",14511,"Chemnitz",2013,"14511y2013",900,931,204,350,480,5,122,2952,836,24675,121,244
"50",14521,"Erzgebirgskreis",2013,"14521y2013",727,533,106,228,302,3,63,1745,200,13083,33,121
"51",14522,"Mittelsachsen",2013,"14522y2013",792,821,103,248,332,4,75,2216,602,14695,47,143
"52",14523,"Vogtlandkreis",2013,"14523y2013",696,795,95,168,238,6,54,1652,439,13924,39,144
"53",14524,"Zwickau",2013,"14524y2013",1069,800,95,361,504,5,129,2729,524,19029,96,220
"54",14612,"Dresden",2013,"14612y2013",2014,2348,799,709,1065,11,321,5551,1902,59676,255,485
"55",14625,"Bautzen",2013,"14625y2013",1017,675,254,236,346,3,98,2077,361,16282,75,132
"56",14626,"Görlitz",2013,"14626y2013",1195,862,578,312,479,7,153,2240,429,22634,58,185
"57",14627,"Meißen",2013,"14627y2013",636,550,113,172,243,4,60,1622,291,13469,28,89
"58",14628,"Sächsische Schweiz-Osterzgebirge",2013,"14628y2013",636,585,168,157,234,3,68,1664,438,15500,39,103
"59",14713,"Leipzig",2013,"14713y2013",2616,5757,563,1053,1615,16,523,7474,2430,70451,697,1304
