"","district","Pop_0_17","Pop_18_24","Pop_25_44","Pop_45_64","Pop_over_65"
"1",1001,14.8,11.3,26.1,27.1,20.6
"2",1002,14.1,11.5,30.4,25.7,18.3
"3",1003,14.8,8.3,25.6,28.2,23.1
"4",1004,16.5,8.4,23.3,29.3,22.5
"5",1051,16.9,7.6,21.2,30.8,23.5
"6",1053,17.4,6.9,22.6,31.1,22
"7",1054,16.7,7.7,21.6,30.8,23.1
"8",1055,15.1,6.5,20.4,31.8,26.2
"9",1056,17.1,7,23.4,30.7,21.9
"10",1057,16.4,6.6,20.1,32,24.9
"11",1058,17.6,7,21.5,31.6,22.3
"12",1059,17.6,7.3,21.3,31.2,22.6
"13",1060,17.2,6.9,23.7,31,21.1
"14",1061,16.9,7.5,21.6,32.1,21.9
"15",1062,17.4,6.4,22.7,31,22.5
"19",3101,14.5,9.1,28.9,26.8,20.7
"20",3102,16.3,7.8,22.1,29.9,23.9
"21",3103,15.2,7.8,26.5,28,22.5
"22",3151,18.3,7.6,23.2,32.3,18.7
"23",3152,15.3,9.9,25.7,29,20.1
"24",3153,13.7,7.7,21.2,30.6,26.8
"25",3154,15.2,7.2,22,32.5,23.1
"26",3155,15.5,6.9,20.9,32.4,24.2
"27",3156,14.4,6.3,19.6,32.3,27.4
"28",3157,17.7,7.1,22.7,31.4,21
"29",3158,16.2,7.3,21.5,32,22.9
"31",3241,16.1,7.8,26.1,29,21
"32",3241001,15.2,8.8,30.2,26.7,19.1
"33",3251,17,7.2,22.2,32,21.5
"34",3252,15.6,7.2,21,31.3,24.8
"35",3254,16,8.2,22.5,30.8,22.5
"36",3255,15.6,7.6,20.6,31.2,25
"37",3256,17.1,7.7,22.1,31.8,21.3
"38",3257,16.1,7.1,21.3,31.8,23.7
"40",3351,17.3,7.4,22.3,30.6,22.5
"41",3352,16.7,6.8,21.2,31.6,23.8
"42",3353,17.7,6.7,22.3,31.8,21.5
"43",3354,15.4,6.5,19.7,31.9,26.4
"44",3355,17.8,8.2,25.2,29.9,19
"45",3356,16.9,6.8,21.7,32.5,22.1
"46",3357,18.1,8,23.2,31,19.7
"47",3358,17.2,7.8,22.5,30.8,21.8
"48",3359,17.8,7.7,23.8,30.5,20.2
"49",3360,16,7.2,21.1,31.5,24.3
"50",3361,17.8,7.3,22.6,31.4,20.8
"52",3401,16.5,8.2,23.4,29.8,22.1
"53",3402,16.7,9.8,24.9,28.1,20.5
"54",3403,15.4,9.3,28.6,28.1,18.7
"55",3404,14.7,10.3,29,26.5,19.5
"56",3405,13.8,9.7,21.5,29.2,25.9
"57",3451,17.8,7.3,22.3,31.1,21.5
"58",3452,17.8,7.7,22.4,30.9,21.2
"59",3453,21.3,9.1,25.2,28.6,15.8
"60",3454,18.8,8.6,25.1,29.6,17.9
"61",3455,16.5,7.2,20.3,31.5,24.4
"62",3456,18.9,8.1,23.4,30.2,19.4
"63",3457,18.2,8,23.7,29.9,20.2
"64",3458,17.9,7.2,22.3,32.5,20.1
"65",3459,18.6,8.1,23.2,30.7,19.4
"66",3460,20.6,9.6,26,28.6,15.3
"67",3461,17,7.9,21.1,31.7,22.2
"68",3462,17.4,7.5,21.6,31,22.4
"70",4011,14.9,8.8,27.2,28,21.1
"71",4012,16.2,8.3,24.2,29,22.2
"74",5111,15.2,7.2,30.3,27.5,19.8
"75",5112,16.5,8.4,25.2,29,20.9
"76",5113,15.2,8.2,25.7,29.2,21.8
"77",5114,16.3,7.6,23.8,30.4,21.8
"78",5116,16,8.4,24.3,30.5,20.8
"79",5117,15.2,7,23,30.8,24
"80",5119,15.4,7.8,24.2,31.3,21.3
"81",5120,16,7.7,23,31,22.2
"82",5122,16.9,7.8,23.4,30.4,21.5
"83",5124,16.1,8.3,24.8,29.3,21.4
"84",5154,17.3,8.1,23.3,31.8,19.5
"85",5158,16.2,6.8,22,31.5,23.5
"86",5162,17,7,23.5,31.3,21.2
"87",5166,16.6,7.6,22.2,32.7,20.8
"88",5170,15.8,7.5,22.2,32.8,21.7
"90",5314,16.8,9.4,29,26.6,18.2
"91",5315,15.7,8.5,31.5,26.7,17.6
"92",5316,16.7,7.4,24.3,29.7,21.9
"93",5334,15.8,10.5,25.7,28.3,19.7
"94",5334002,13.8,14,28.9,24.9,18.3
"95",5354,NA,NA,NA,NA,NA
"96",5358,17,8.1,22.9,31.7,20.2
"97",5362,17.1,7.6,23.6,31.3,20.4
"98",5366,17.1,7.6,22.2,32.8,20.3
"99",5370,17.4,8,22.9,32,19.6
"100",5374,17.9,8,22.6,31,20.5
"101",5378,17.1,7.1,21.4,31.9,22.5
"102",5382,17.8,7.7,22.9,31.4,20.3
"104",5512,15.7,7.6,23.7,31.8,21.2
"105",5513,16.4,8.4,25,29.6,20.7
"106",5515,14.8,12.3,30.6,25.6,16.7
"107",5554,19.3,8.8,24,30.2,17.7
"108",5558,18.3,8,22.5,32.4,18.9
"109",5562,15.9,7.5,23,31.8,21.7
"110",5566,18.7,8.4,23.2,30.8,18.9
"111",5570,18.3,7.8,23,30.9,20
"113",5711,16.8,9.2,27.1,26.9,20
"114",5754,18.5,8.2,24.5,30.1,18.8
"115",5758,17.1,7.7,23.1,30.5,21.6
"116",5762,17.5,8,22.1,31.2,21.1
"117",5766,17.9,8,22.2,30.2,21.8
"118",5770,17.7,7.9,22.6,30.6,21.2
"119",5774,18.3,9.4,26.3,29.1,17
"121",5911,14.2,8.6,26.1,29.3,21.8
"122",5913,15.6,8.7,26.7,28.6,20.4
"123",5914,16,7.9,23.4,30.1,22.6
"124",5915,17.5,8.4,24.6,29.2,20.4
"125",5916,15.8,8,24.3,29.9,22
"126",5954,15.1,7.4,22.3,32.2,23
"127",5958,17.1,7.9,22.6,31.2,21.2
"128",5962,16.9,7.9,22.9,31.2,21.1
"129",5966,17.8,8.1,23.9,31.1,19
"130",5970,16.3,8.8,23.7,30.4,20.8
"131",5974,17.4,7.7,23.2,31.2,20.4
"132",5978,16.3,7.6,22.6,31.9,21.6
"135",6411,15.7,10.8,30.4,25.5,17.7
"136",6412,15.9,7.7,34.3,26.1,16
"137",6413,18,8.5,29.2,26.6,17.6
"138",6414,17.2,7.5,27.9,27.8,19.6
"139",6431,16,7.4,23.1,32.3,21.2
"140",6432,17,7.6,24,31.7,19.7
"141",6433,17.4,7.8,26.3,29.4,19.1
"142",6434,17.8,6.3,23.1,30.5,22.2
"143",6435,16.6,7.5,24.3,30.9,20.6
"144",6436,17.7,6.4,25,30.1,20.8
"145",6437,16.1,8,22.3,31.8,21.7
"146",6438,16.8,7.1,25.2,30.2,20.6
"147",6439,16.5,7,22.4,32.3,21.8
"148",6440,17,7.5,23.9,31.3,20.2
"150",6531,15.6,10.3,26.2,29,18.9
"151",6532,16.7,8.1,23.3,30.9,21.1
"152",6533,17.1,7.7,23.4,31.6,20.1
"153",6534,16.2,10.8,25.5,28.7,18.9
"154",6535,15.3,7.3,21.7,32.9,22.8
"156",6611,15.3,9.9,28.1,27,19.7
"157",6631,17.5,8.5,24,29.8,20.2
"158",6632,15.8,7.1,22.5,31.3,23.3
"159",6633,15.6,6.9,21.7,32.1,23.7
"160",6634,15.9,7.5,22.7,32,22
"161",6635,16.5,7.5,22.2,31.8,22
"162",6636,14.8,7.1,21,32.3,24.8
"165",7111,14.4,9.5,27.1,27.5,21.5
"166",7131,15.6,7.5,21.1,32.4,23.4
"167",7132,16.8,8.2,22.3,31.8,20.9
"168",7133,16.4,7.4,22.4,32.3,21.6
"169",7134,15.2,7.4,21.4,32.9,23
"170",7135,15.9,7.5,21.3,32.4,22.9
"171",7137,16.3,7.6,23.2,32.3,20.6
"172",7138,17,7.9,21.9,31.8,21.4
"173",7140,16.4,7.6,22.4,32.6,21
"174",7141,15.7,7.4,22.1,32.5,22.3
"175",7143,17.2,7.8,23.3,32,19.7
"177",7211,13.7,13,29.8,25.7,17.7
"178",7231,16.1,7.6,22.7,32.3,21.2
"179",7232,17,8.3,23.1,31.9,19.7
"180",7233,16.3,7.6,21,32.2,22.9
"181",7235,17.1,7.4,23.8,32.5,19.2
"183",7311,16.2,7.8,24.4,29.1,22.4
"184",7312,14.2,11.7,26.2,28,19.9
"185",7313,15,10.9,26,28.9,19.2
"186",7314,17.2,8.5,26.8,28,19.5
"187",7315,14.3,10.9,32.1,25,17.7
"188",7316,15.5,7.2,22.3,31.9,23.1
"189",7317,14.5,7.6,21.1,31.8,25.1
"190",7318,16.5,7.3,23.9,31.2,21
"191",7319,17,8.7,24.8,29.8,19.6
"192",7320,15.4,7.9,24,30.5,22.3
"193",7331,17.4,7.7,23.3,33.6,18.1
"194",7332,15.7,7,21.2,33.7,22.4
"195",7333,17.2,7.5,22.3,33.4,19.6
"196",7334,17,8.4,24.7,31.8,18.2
"197",7335,16.8,7.8,22.3,32.8,20.2
"198",7336,15.3,7.6,21.4,33.9,21.8
"199",7337,16,7.5,21.9,33.4,21.2
"200",7338,16.1,7,22.5,32.7,21.7
"201",7339,17.3,7.2,23.7,32.8,19
"202",7340,14.6,7.4,20.9,34.1,23
"205",8111,15.2,8.9,32.5,25,18.4
"206",8115,17.9,7.6,25.7,29.1,19.7
"207",8116,17.3,7.9,25.5,29.1,20.2
"208",8117,17,8,23.9,30,21.1
"209",8118,17.6,7.7,26.2,29.1,19.5
"210",8119,17.4,7.7,24.1,30.2,20.5
"211",8121,17.2,8.4,27,26.9,20.4
"212",8125,18,8,25,30.5,18.6
"213",8126,17.9,8.6,24.6,30.5,18.4
"214",8127,18.1,8.3,24.9,30.6,18.2
"215",8128,16.7,7.9,22.8,31.4,21.3
"216",8135,17.2,8,23.4,29.6,21.7
"217",8136,18,8.4,24.4,29.6,19.7
"219",8211,14.3,6.5,22.1,30.7,26.4
"220",8212,14.4,10.7,30.2,26.2,18.5
"221",8215,16.9,7.6,24.2,31.3,20
"222",8216,16.6,7.6,23.4,31.9,20.5
"223",8221,13.7,13.3,33,23.7,16.2
"224",8222,15.2,9.8,29.1,26.9,19
"225",8225,16.9,8.1,22.8,31.9,20.3
"226",8226,16.9,7.6,24.2,30.8,20.5
"227",8231,17,9.1,25.6,27.4,20.8
"228",8235,17.8,8.1,22.9,31.1,20
"229",8236,17.5,7.9,23,31.3,20.4
"230",8237,17.8,8.4,23.3,30.8,19.7
"232",8311,15.5,12.4,31.3,24.7,16
"233",8315,17.8,7.9,22.8,31,20.6
"234",8316,17.7,7.7,23.4,31.5,19.6
"235",8317,17.7,8,23.7,30.8,19.8
"236",8325,18,8,23.1,30.3,20.6
"237",8326,16.8,8.2,23.4,29.9,21.7
"238",8327,18.7,8.1,24.7,29.2,19.3
"239",8335,16.6,9.8,24.2,29,20.5
"240",8336,17.8,7.8,24,30.6,19.6
"241",8337,18.3,7.9,23.1,30.5,20.3
"243",8415,17.5,8.3,24.4,29.7,20
"244",8416,17.1,11.6,27.1,28.1,16.1
"245",8417,16.7,8.1,22.9,30.9,21.3
"246",8421,16,10.2,29.4,25.9,18.6
"247",8425,18.9,8.4,24.4,29.9,18.5
"248",8426,19,8.4,24.8,29.9,17.9
"249",8435,16.9,7.9,23.7,29.9,21.6
"250",8436,18.4,8.8,24.7,29.2,18.9
"251",8437,18.2,8.7,23.1,30.6,19.4
"254",9161,16.5,8.2,29.8,26.8,18.8
"255",9162,14.8,8.1,33.9,25.3,17.9
"256",9163,16.2,8.3,28.2,27.2,20
"257",9171,16.9,7.8,23.5,30.7,21.1
"258",9172,15.6,8.3,24.3,28.6,23.2
"259",9173,17.5,7.5,23.9,30.2,20.9
"260",9174,18,8,26.5,29.7,17.7
"261",9175,19.2,7.5,25.3,29.4,18.7
"262",9176,19,8.7,25.9,29.5,16.9
"263",9177,19,8.2,26.5,30.4,15.8
"264",9178,18.2,9.2,28.5,28.7,15.4
"265",9179,17.6,7.3,24.8,29,21.3
"266",9180,15.5,7.6,22.3,29.6,25
"267",9181,18.8,7.8,23.6,30.9,18.8
"268",9182,16.7,7.6,23.6,29.8,22.3
"269",9183,17.5,8.3,24.3,30.4,19.6
"270",9184,18.2,7.2,25.9,28.1,20.6
"271",9185,18.1,8.3,25.4,29.9,18.3
"272",9186,17.8,8.2,26.1,30.6,17.4
"273",9187,17.7,8.1,23.8,30.2,20.2
"274",9188,18.2,7,22.1,30.1,22.6
"275",9189,16.8,8,23,30,22.2
"276",9190,17.8,7.9,23.1,30.4,20.7
"278",9261,15.1,8.6,27.5,27.6,21.3
"279",9262,13.3,12.2,26,26.7,21.9
"280",9263,14.1,8.2,26.6,29.9,21.1
"281",9271,16.6,8.5,24.6,31.1,19.1
"282",9272,16.2,8.2,23,32.6,20
"283",9273,18,8.5,25.4,30.2,17.9
"284",9274,18.2,8.1,25,31.1,17.6
"285",9275,16.5,7.9,23.7,31.3,20.5
"286",9276,15.8,7.9,23.4,32.2,20.7
"287",9277,17.1,8.1,23.8,30.5,20.5
"288",9278,17.7,8.1,24.5,31.4,18.3
"289",9279,16.8,8.8,25.4,30.8,18.2
"291",9361,15,7.9,24.7,30,22.3
"292",9362,14.1,10.7,32.2,25.1,17.9
"293",9363,15.2,8,24.5,29.5,22.8
"294",9371,16.7,8.3,23.1,32.1,19.8
"295",9372,16.4,8.1,24.4,31.5,19.7
"296",9373,17.7,8.6,24.5,31.3,18
"297",9374,16.9,8.3,23.6,31.9,19.2
"298",9375,17.6,7.9,24.9,31.8,17.8
"299",9376,16.4,8.2,24.6,31.2,19.5
"300",9377,15.9,8.1,22.6,31.8,21.5
"302",9461,14.1,10.8,27.9,26.7,20.5
"303",9462,13,13.7,25.6,26.4,21.3
"304",9463,14.4,8.6,24.4,29.6,23
"305",9464,14.7,7.9,23.5,29.4,24.4
"306",9471,17.5,8.3,24.9,31.8,17.6
"307",9472,16.5,7.6,23.2,31.9,20.8
"308",9473,15.7,7.5,22.6,32.3,22
"309",9474,17.2,8.1,23.7,32.2,18.9
"310",9475,15.1,7.1,21,32.1,24.8
"311",9476,14.7,7,22.6,33,22.7
"312",9477,15.3,7.1,22.4,32.7,22.5
"313",9478,15.7,7.9,23.1,31.9,21.4
"314",9479,14.2,7,20.6,32.4,25.9
"316",9561,15.7,8.3,25,29.4,21.6
"317",9562,15.4,10.2,30.3,25.7,18.4
"318",9563,16,8,28.4,29.2,18.4
"319",9564,15,8.5,29,27,20.5
"320",9565,16.6,7.7,24.2,29.9,21.6
"321",9571,17.7,8.5,23.8,30.9,19.1
"322",9572,17.6,7.6,24.2,31.6,19
"323",9573,16.4,7.1,23.3,31.7,21.4
"324",9574,16.3,7.4,22.9,31.6,21.8
"325",9575,17.2,8.1,23.1,31.8,19.7
"326",9576,17.2,7.9,23.4,31.6,19.8
"327",9577,16.9,8,23,31.3,20.9
"329",9661,15.6,7.7,26.9,29.9,19.9
"330",9662,15.3,8.3,24.3,28.3,23.9
"331",9663,12.2,13.2,29.9,24.9,20
"332",9671,16.5,7.9,23.4,32.3,19.9
"333",9672,15.7,7.5,21.9,31.9,22.9
"334",9673,17,8.1,22.5,32.1,20.3
"335",9674,16.9,8.2,23.4,32.5,19
"336",9675,16.7,8.4,23.9,31.5,19.5
"337",9676,17.2,8,23.7,31.3,19.7
"338",9677,15.9,7.9,22.8,32.6,20.9
"339",9678,16.5,8.1,22.8,32.2,20.4
"340",9679,16.8,8,23.9,31.9,19.4
"342",9761,15.1,9.5,29.2,26.2,20.2
"343",9762,16.3,7.6,23.9,29.5,22.7
"344",9763,15.2,9,25.9,27.5,22.3
"345",9764,16.5,8,25.1,28.8,21.6
"346",9771,18.1,8,24.5,30.7,18.7
"347",9772,17.6,8,23.8,30.8,19.7
"348",9773,17.8,8.5,24.1,30.8,18.9
"349",9774,17.8,8.5,24.6,30.5,18.6
"350",9775,17.3,8.1,25.6,29.4,19.5
"351",9776,17.2,7.5,23.2,29.9,22.2
"352",9777,18,8.1,23.5,30.1,20.3
"353",9778,18,8.3,23.5,29.8,20.4
"354",9779,17.8,8.3,24.8,30,19
"355",9780,16.8,7.8,23.1,30.5,21.8
"357",10041,14.2,8.4,24.2,31.2,22
"358",10041100,14.1,9.2,26.7,29.4,20.6
"359",10042,15.6,7.2,22.9,33.6,20.7
"360",10043,13.8,7.4,22,33.5,23.2
"361",10044,14.6,7.6,22.2,33.5,22.2
"362",10045,14,7.7,21.7,33,23.5
"363",10046,14.2,7.4,21.6,34.4,22.4
"366",12051,12.5,5.8,24.1,31.2,26.5
"367",12052,12.8,7.7,25.3,30.9,23.3
"368",12053,12.9,7.1,23.7,32.8,23.6
