"","district","PopulationTotal"
"3",1001,83971
"4",1002,241533
"5",1003,212958
"6",1004,77058
"7",1051,132665
"8",1053,189043
"9",1054,161923
"10",1055,197835
"11",1056,301223
"12",1057,126643
"13",1058,268075
"14",1059,195135
"15",1060,263202
"16",1061,130017
"17",1062,234674
"21",3101,247227
"22",3102,98197
"23",3103,122457
"24",3151,171475
"25",3152,248249
"26",3153,137833
"27",3154,90423
"28",3155,134661
"29",3156,74367
"30",3157,130147
"31",3158,119900
"33",3241,1119526
"34",3241001,518386
"35",3251,209955
"36",3252,147755
"37",3254,274519
"38",3255,71877
"39",3256,119848
"40",3257,155599
"42",3351,175552
"43",3352,196607
"44",3353,242871
"45",3354,48670
"46",3355,176727
"47",3356,110882
"48",3357,161308
"49",3358,136251
"50",3359,196516
"51",3360,92356
"52",3361,132459
"54",3401,74052
"55",3402,49790
"56",3403,159610
"57",3404,156315
"58",3405,75728
"59",3451,118865
"60",3452,187058
"61",3453,160176
"62",3454,313689
"63",3455,97093
"64",3456,133678
"65",3457,164792
"66",3458,125778
"67",3459,350302
"68",3460,134188
"69",3461,88831
"70",3462,56400
"72",4011,548547
"73",4012,108844
"76",5111,598686
"77",5112,486855
"78",5113,569884
"79",5114,222058
"80",5116,255430
"81",5117,166640
"82",5119,209097
"83",5120,108955
"84",5122,155768
"85",5124,343488
"86",5154,302698
"87",5158,476633
"88",5162,440602
"89",5166,294921
"90",5170,457033
"92",5314,311287
"93",5315,1034175
"94",5316,160819
"95",5334,545067
"96",5334002,241683
"97",5354,0
"98",5358,258385
"99",5362,456602
"100",5366,187437
"101",5370,248233
"102",5374,270290
"103",5378,278440
"104",5382,582280
"106",5512,116055
"107",5513,257850
"108",5515,299708
"109",5554,364271
"110",5558,215282
"111",5562,613878
"112",5566,434481
"113",5570,272623
"115",5711,328864
"116",5754,352334
"117",5758,248988
"118",5762,142788
"119",5766,345374
"120",5770,309356
"121",5774,296688
"123",5911,361734
"124",5913,575944
