district;Landkreis/Stadt;Bundesland;Dichte;Anzahl
7131;Ahrweiler, Landkreis;Rheinland-Pfalz;15,9;20
9771;Aichach-Friedberg, Landkreis;Bayern;7,9;10
8425;Alb-Donau-Kreis;Baden-Württemberg;18,2;34
16077;Altenburger Land, Kreis;Thüringen;8,3;8
7132;Altenkirchen (Westerwald), Landkreis;Rheinland-Pfalz;10,8;14
15081;Altmarkkreis Salzwedel;Sachsen-Anhalt;13,7;12
9171;Altötting, Landkreis;Bayern;14,1;15
7331;Alzey-Worms, Landkreis;Rheinland-Pfalz;5,6;7
9371;Amberg-Sulzbach, Landkreis;Bayern;21,2;22
9361;Amberg, Stadt;Bayern;40,7;17
3451;Ammerland, Landkreis;Niedersachsen;11,0;13
15082;Anhalt-Bitterfeld, Landkreis;Sachsen-Anhalt;12,3;21
9561;Ansbach, Landkreis;Bayern;23,6;42
9571;Ansbach, Stadt;Bayern;63,1;25
9661;Aschaffenburg, Landkreis;Bayern;9,9;17
9671;Aschaffenburg, Stadt;Bayern;34,1;23
9761;Augsburg, Landkreis;Bayern;14,7;35
9772;Augsburg, Stadt;Bayern;52,7;142
3452;Aurich, Landkreis;Niedersachsen;16,6;31
7332;Bad Dürkheim, Landkreis;Rheinland-Pfalz;28,3;37
9672;Bad Kissingen, Landkreis;Bayern;23,2;24
7133;Bad Kreuznach, Landkreis;Rheinland-Pfalz;29,0;45
9173;Bad Tölz-Wolfratshausen, Landkreis;Bayern;21,7;26
8211;Baden-Baden, Kreisfreie Stadt;Baden-Württemberg;49,6;26
9461;Bamberg, Landkreis;Bayern;7,7;11
9471;Bamberg, Stadt;Bayern;62,2;44
12060;Barnim, Landkreis;Brandenburg;8,7;15
14625;Bautzen, Landkreis;Sachsen;6,1;19
9462;Bayreuth, Landkreis;Bayern;21,9;23
9472;Bayreuth, Stadt;Bayern;80,0;57
9172;Berchtesgadener Land, Landkreis;Bayern;10,9;11
6431;Bergstraße, Landkreis;Hessen;16,8;44
11;Berlin;Berlin;24,0;797
7231;Bernkastel-Wittlich, Landkreis;Rheinland-Pfalz;11,6;13
8426;Biberach, Landkreis;Baden-Württemberg;24,5;46
5711;Bielefeld, Kreisfreie Stadt;Nordrhein-Westfalen;39,1;128
7134;Birkenfeld, Landkreis;Rheinland-Pfalz;23,1;19
8115;Böblingen, Landkreis;Baden-Württemberg;13,7;50
5911;Bochum, Kreisfreie Stadt;Nordrhein-Westfalen;14,1;51
8435;Bodenseekreis;Baden-Württemberg;33,7;69
5314;Bonn, Kreisfreie Stadt;Nordrhein-Westfalen;64,4;198
15083;Börde, Landkreis;Sachsen-Anhalt;7,4;13
