"","district","BelieversProtestant","BelieversTotal","BelieversRomanCatholic","BelieversOthersNoNoResponse"
"52",1001,40867,82258,5220,36171
"53",1002,97355,235782,17368,121059
"54",1003,101500,210305,17793,91012
"55",1004,38356,77249,5019,33874
"56",1051,86458,133900,5975,41467
"57",1053,92422,187137,11277,83439
"58",1054,107248,163665,8818,47599
"59",1055,114638,198413,12441,71334
"60",1056,121116,296341,19019,156206
"61",1057,71848,127676,6520,49308
"62",1058,154742,269362,13460,101162
"63",1059,124655,196025,8845,62525
"64",1060,116889,260665,14740,129036
"65",1061,76910,130785,5531,48342
"66",1062,97836,230556,15539,117180
"67",3101,95912,242537,33975,112650
"68",3102,40036,98895,17458,41401
"69",3103,48248,119984,20677,51059
"70",3151,93112,171333,14895,63324
"71",3152,112065,248037,54429,81543
"72",3153,75630,140137,15934,48573
"73",3154,48588,91410,9996,32826
"74",3155,87137,137445,15268,35041
"75",3156,46229,76785,7447,23110
"76",3157,68664,130398,14787,46947
"77",3158,63587,120774,13354,43832
"78",3241,455191,1102240,141275,505776
"79",3251,119693,211185,22263,69228
"80",3252,83665,150259,17026,49568
"81",3254,131877,277595,65697,80020
"82",3255,45097,73548,8682,19768
"83",3256,79749,122241,8449,34044
"84",3257,91156,157496,16406,49935
"85",3351,99230,176690,14158,63302
"86",3352,121551,198777,13282,63945
"87",3353,106788,238443,15302,116352
"88",3354,29878,49205,2579,16748
"89",3355,87679,174123,12520,73924
"90",3356,61858,110907,7139,41910
"91",3357,106286,162726,8384,48056
"92",3358,84337,136693,9697,42659
"93",3359,106173,195450,11679,77598
"94",3360,59511,93596,6143,27941
"95",3361,72758,132300,8757,50785
"96",3401,28952,73322,10148,34222
"97",3402,30780,49787,3946,15061
"98",3403,72242,157267,22507,62518
"99",3404,51263,153699,53280,49156
"100",3405,34675,77451,8938,33838
"101",3451,71210,117912,10318,36384
"102",3452,135380,187136,10832,40923
"103",3453,32333,159337,96311,30693
"104",3454,53817,311089,212930,44342
"105",3455,57178,98229,8197,32854
"106",3456,65499,133395,33648,34248
"107",3457,109858,163832,17542,36432
"108",3458,67742,125015,14917,42355
"109",3459,129318,350147,145557,75272
"110",3460,24820,132293,85967,21507
"111",3461,50287,90033,7033,32715
"112",3462,40029,56839,3731,13079
"113",4011,212283,542707,59329,271095
"114",4012,49194,108156,11670,47292
"115",5111,120300,586291,192790,273201
"116",5112,126913,488468,151421,210134
"117",5113,154639,566201,217244,194318
"118",5114,45007,222247,95720,81520
"119",5116,46683,255188,132399,76106
"120",5117,52198,166865,51264,63403
"121",5119,56876,210216,84709,68630
"122",5120,39327,110708,25082,46299
"123",5122,50098,155265,40361,64806
"124",5124,113827,342661,77025,151809
"125",5154,51586,300989,189311,60093
"126",5158,141761,477778,158594,177422
"127",5162,88525,437393,211829,137039
"128",5166,56412,296175,164367,75397
"129",5170,151659,460419,174744,134017
"130",5314,67285,305765,119177,119303
"131",5315,167382,1005775,385783,452610
"132",5316,35842,158984,62094,61048
"133",5334,77428,539516,301544,160543
"134",5354,NA,NA,NA,NA
"135",5358,34753,258760,157202,66806
"136",5362,76985,451514,229753,144777
"137",5366,27379,187940,120194,40366
"138",5370,42232,248161,152525,53404
"139",5374,103240,273011,83581,86190
"140",5378,73661,278183,110656,93865
"141",5382,132997,578252,267043,178212
"142",5512,25683,117311,58666,32962
"143",5513,77787,258766,87144,93835
"144",5515,62207,289576,148408,78961
"145",5554,47419,363755,256470,59865
